,GC124712,GC124713,GC124714,GC124715,GC124716,GC124717,GC124718,GC124719,GC124720,GC124721,GC124722,GC124723,original_tags
RIL182_01141,1737,1409,1821.2,1764.243,1104,1344,1984,2125.012,2071,580,306,491,"fig|536231.75.peg.1197|RIL182_01141   diguanylate phosphodiesterase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01142,73,48,52,180,353,132,126,276,489,81,43,66,"fig|536231.75.peg.1198|RIL182_01142   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01143,200,157,176,515,292,258,294,500,690,225,66,282,"fig|536231.75.peg.1199|RIL182_01143   signal transduction histidine kinase regulating citrate/malate metabolism   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01144,21,37,13,108,43,22.007,26,32,31,11,0,30,"fig|536231.75.peg.1200|RIL182_01144   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01145,16,10,7,8,22,13,11,29,71,8,0,48,"fig|536231.75.peg.1201|RIL182_01145   LemA protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01146,718,449,496,315,549,333,752,471,65,28,32,78,"fig|536231.75.peg.1202|RIL182_01146   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01147,4663,3867,4941,3502,3117,2236,4486,5435,4153,2309,1479,2491,"fig|536231.75.peg.1203|RIL182_01147   ATP-dependent Zn protease   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01148,2094,1960,2283,4306,4787,3324,2810,4705,4792,3152,1492,2636,"fig|536231.75.peg.1204|RIL182_01148   Bis-ABC ATPase Uup   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01149,2366,1801,1601,3511,2311,1650,2547.585,3970,3762,2649,1167,2081,"fig|536231.75.peg.1205|RIL182_01149   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01150,383,225,372,471,448,307,724,755,644,362,110,316,"fig|536231.75.peg.1206|RIL182_01150   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01151,1439,1077,1515,2054,1428,1472,1132,1918,2568,1271,834,990,"fig|536231.75.peg.1207|RIL182_01151   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01152,172.424,158,145.522,490.752,336.704,240.467,183,298.461,453.928,271,135,175.099,"fig|536231.75.peg.1208|RIL182_01152   Integral membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01153,558.576,492,863.499,758.248,711.296,673.533,434,798.539,1216.072,696,370,699.901,"fig|536231.75.peg.1209|RIL182_01153   Putative membrane-spanning protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1210   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,1,0,0,0,"fig|536231.75.peg.1210   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1211   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,5,0,0,0,0,0,2,0,0,0,0,"fig|536231.75.peg.1211   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01154,0,0,0,0,0,4,2,1,3,0,0,0,"fig|536231.75.peg.1212|RIL182_01154   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01155,71,43.034,42,63.419,7,55,44,62.583,82,85,10,35,"fig|536231.75.peg.1213|RIL182_01155   Stage V sporulation protein AA (SpoVAA)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01156,77,37,49,286.581,192.878,177,37,111.417,74,64,39,52,"fig|536231.75.peg.1214|RIL182_01156   Stage V sporulation protein AB (SpoVAB)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01157,63,79,55,169,38,22,90,108,109,108,53,96,"fig|536231.75.peg.1215|RIL182_01157   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01158,161,148,160,267,169.204,209.023,173,261,191,191,94,187,"fig|536231.75.peg.1216|RIL182_01158   Stage V sporulation protein AC (SpoVAC)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01159,7371,5488,6768.819,5069,2761.796,3614.977,4053.707,4588,2406,371,568,512,"fig|536231.75.peg.1217|RIL182_01159   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01160,26,18,22,23,8,20,45,35,35,3,35,20,"fig|536231.75.peg.1218|RIL182_01160   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01161,162,122,193,71,49,28,72,82,38,9,31,0,"fig|536231.75.peg.1219|RIL182_01161   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01162,2743,2169,2749,3383,3190,2277,2584,4105,4044,1947,1289,1873,"fig|536231.75.peg.1220|RIL182_01162   Glycerol dehydrogenase (EC 1.1.1.6)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1221   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,2,0,0,0,0,0,"fig|536231.75.peg.1221   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01163,0,0,0,10,0,0,3,0,2,6,0,0,"fig|536231.75.peg.1222|RIL182_01163   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01164,111,109,95,230,247,171,167,114,104,86,76,28,"fig|536231.75.peg.1223|RIL182_01164   Hydroxylamine reductase (EC 1.7.99.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01165,92,86,86,280,7,72,94,168,259,260,99,152,"fig|536231.75.peg.1224|RIL182_01165   Hydrolase (HAD superfamily) in cluster with DUF1447   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01166,215.367,228.892,223.249,176.261,77.905,80.078,226.852,289.803,206,138,65,143,"fig|536231.75.peg.1225|RIL182_01166   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01167,1336.633,1291.108,1805.751,1780.739,711.095,878.922,1213.148,1458.197,1216,799,600,737,"fig|536231.75.peg.1226|RIL182_01167   Pyrrolidone-carboxylate peptidase (EC 3.4.19.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1227   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,3,5,1,6,0,8,"fig|536231.75.peg.1227   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01168,106,72,91,185,100,51,127,144,96,42,77,27,"fig|536231.75.peg.1228|RIL182_01168   LPXTG-motif cell wall anchor domain   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01169,48,59,44,62,89,39,41,92,34,32,54,47,"fig|536231.75.peg.1229|RIL182_01169   RND efflux system, membrane fusion protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01170,195,199,166,531,524,260,138,194,166,173,52,79,"fig|536231.75.peg.1230|RIL182_01170   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01171,110,113,68,78,27,68,28,21,32,24,0,7,"fig|536231.75.peg.1231|RIL182_01171   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01172,110,81,87,81,159,77,71,111,81,61,26,49,"fig|536231.75.peg.1232|RIL182_01172   ABC transporter, ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01173,942,723,812,1186,522,716,601,1232,1840,751,411,359,"fig|536231.75.peg.1233|RIL182_01173   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01174,619,443,527,954,913,585,671,978,1059,421,283,289,"fig|536231.75.peg.1234|RIL182_01174   Inositol-1-monophosphatase (EC 3.1.3.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01175,15,16,8,42,50,12,20,44,78,0,0,26,"fig|536231.75.peg.1235|RIL182_01175   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01176,2447.206,2036.778,2664.286,2218.033,1191,1757.936,1525.883,1935.74,1971.269,516,257,575.451,"fig|536231.75.peg.1236|RIL182_01176   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01177,840.794,657.222,577.714,2161.967,1225,1232.064,902.117,1432.26,1391.731,269,150,362.549,"fig|536231.75.peg.1237|RIL182_01177   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01178,715,488,334,2375,1795,1167,717,1334,1104,1527,950,845,"fig|536231.75.peg.1238|RIL182_01178   beta-galactosidase (EC 3.2.1.23)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01179,1866,1550,1848,4885,2809,2601,2838,5941,5217,2996,1498,1987,"fig|536231.75.peg.1239|RIL182_01179   beta-glucosidase (EC 3.2.1.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01180,972,669,747,2404,2324,1743,2470.254,4847,4858,2593,410,1762,"fig|536231.75.peg.1240|RIL182_01180   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01181,1053,974,1326,2184,2376,1658,1586,3172.029,2044,1158,500,975,"fig|536231.75.peg.1241|RIL182_01181   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01182,10091,6238,5607,115716,150898.201,41911.423,88507.921,164777.656,60377,60034,26443,45860,"fig|536231.75.peg.1242|RIL182_01182   ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01183,3919,2007,2163,16830,21643,6807,14292,28650.75,12934,11237,5492,9122,"fig|536231.75.peg.1243|RIL182_01183   ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01184,2643,1307,1471,6913,5014,3652,8564.734,19928.787,11394,9098,4880,6936,"fig|536231.75.peg.1244|RIL182_01184   ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01185,2793,1444,1458,10469,9112.466,5339,9999,18565.321,8147,6664,3182,4850,"fig|536231.75.peg.1245|RIL182_01185   Oligosaccharide reducing-end xylanase (EC 3.2.1.156)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01186,4334.029,2980.082,2529,21683.124,20991,13528,15365,33808.074,14245,12786,6376,8987,"fig|536231.75.peg.1246|RIL182_01186   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01187,1166,745,570,3427,2894,2366.653,3622,7375,2486,2086,958,1788,"fig|536231.75.peg.1247|RIL182_01187   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01188,1461,1059,887,5911,6120,2925,4055,8200,2916,2282,1178,1934,"fig|536231.75.peg.1248|RIL182_01188   Xylan 1,4-beta-xylosidase (EC 3.2.1.37) @ alpha-L-arabinofuranosidase (EC 3.2.1.55)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01189,703,639,782,1783,1134,870,1599,2065,1515,697,247,642,"fig|536231.75.peg.1249|RIL182_01189   Maltose operon transcriptional repressor MalR, LacI family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1250   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,1,0,0,0,0,0,3,0,0,0,0,"fig|536231.75.peg.1250   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01190,3705,2665.012,1667,3519,3767,1675,4803,11859.001,5773,5091,2148,3571,"fig|536231.75.peg.1251|RIL182_01190   Maltodextrin ABC transporter, substrate-binding protein MdxE   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01191,1213,1003,651,1296,1881,857,1679,3525,1927,1689,517,1469,"fig|536231.75.peg.1252|RIL182_01191   Maltodextrin ABC transporter, permease protein MdxF   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01192,689,591,379,543,520,390,1318,2767,1349,1215,359,888,"fig|536231.75.peg.1253|RIL182_01192   Maltodextrin ABC transporter, permease protein MdxG   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01193,4323.649,4478.484,3492.785,3212.838,3858.084,2033.827,3890.462,7900.434,4155.385,3588.985,1467,2734.239,"fig|536231.75.peg.1254|RIL182_01193   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01194,434.351,350.16,329.271,318.528,234.916,140.458,313.096,487.475,203.615,162.015,46,111.761,"fig|536231.75.peg.1255|RIL182_01194   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01195,3067,2578.357,2570.943,1103.635,1198,706,1440,2104.138,1003,981,399,505,"fig|536231.75.peg.1256|RIL182_01195   Transcriptional regulator, AraC family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01196,3312,3651,3636,3926,3980,2739.3,2084.159,3031,2364,1628,924,1368,"fig|536231.75.peg.1257|RIL182_01196   beta-galactosidase (EC 3.2.1.23)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01197,739,691.704,617,876,978.276,546.757,590,1043,745,717,338,473,"fig|536231.75.peg.1258|RIL182_01197   Putative galactosidase   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1259   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",7,9.296,3,7,2.724,6.243,15,16,10,8,0,10,"fig|536231.75.peg.1259   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01198,602,519,293,2829,4917,1692,2151,3931.042,2604,2214,626,1449,"fig|536231.75.peg.1260|RIL182_01198   Galactokinase (EC 2.7.1.6)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01199,1526,1096,1107,5366,5328,3192,3433,5749,4578,3707,1675,3177,"fig|536231.75.peg.1261|RIL182_01199   Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1262   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,1,3,0,12,0,5,0,0,0,0,4,"fig|536231.75.peg.1262   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01200,878,974,1401,1351,1300,1058,942,1539,1364,885,385,802,"fig|536231.75.peg.1263|RIL182_01200   Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aspartate aminotransferase (EC 2.6.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01201,563,569,709,1369,1459,983,718.095,1154,1482,956,299,792,"fig|536231.75.peg.1264|RIL182_01201   Histidinol-phosphate aminotransferase (EC 2.6.1.9)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01202,955.267,456,483,1371,1774,895,937,1827.232,1849,2022,577,1316,"fig|536231.75.peg.1265|RIL182_01202   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01203,42378.258,34851,35809.999,41070,21516,28802.944,59336.777,64544.41,21304,2399,2401,6290,"fig|536231.75.peg.1266|RIL182_01203   His repressor   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1267   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",3,1,1,0,0,0,0,0,14,5,0,0,"fig|536231.75.peg.1267   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01204,2785,2195,2347,2485,2045,1650.442,2998.166,4655,15691,4163,1469,3448,"fig|536231.75.peg.1268|RIL182_01204   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01205,3485,3018,3733,8336,6166,4481,6644.262,10609,10125,3600,1460,3705,"fig|536231.75.peg.1269|RIL182_01205   ATP-dependent DNA helicase UvrD/PcrA (EC 3.6.4.12)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01206,76903.516,58047.38,62876.766,16862,24255,21134.987,120192.41,111716.855,27883.773,9084,8031,12423,"fig|536231.75.peg.1270|RIL182_01206   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01207,6817.596,5900.435,5629.09,21771.616,20924.106,9295.477,12740.077,22528.601,16126.278,8657.255,4265.589,7217.369,"fig|536231.75.peg.1271|RIL182_01207   RNA methyltransferase, TrmA family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01208,2302.404,1574.889,2322.91,4293.384,5799.894,3220.523,3766.923,4128.402,1967.722,857.745,1116.411,1128.631,"fig|536231.75.peg.1272|RIL182_01208   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01209,5275,4112.013,4774,11778.318,8890,7549,2831.526,5164,5222,3881,3490,2411,"fig|536231.75.peg.1273|RIL182_01209   ABC transporter-coupled two-component system, fused permease protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01210,518,454,500,890,800,613,357,688,1091,455,353,442,"fig|536231.75.peg.1274|RIL182_01210   ABC transporter-coupled two-component system, ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01211,861,703,635,1548.061,744,720,797,1155,1373,802,334,553,"fig|536231.75.peg.1275|RIL182_01211   ABC transporter-coupled two-component system, signal transduction histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01212,635,524,529,1953,2089,1026,749,1204,1123,686,245,563,"fig|536231.75.peg.1276|RIL182_01212   ABC transporter-coupled two-component system, LuxR family response regulator   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01213,986,791,594,2001,1351,1287,1232,2229,2430,1181,623,1062,"fig|536231.75.peg.1277|RIL182_01213   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01214,552,412,269,1172,1287,657,749,1243,1400,628,256,447,"fig|536231.75.peg.1278|RIL182_01214   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01215,1427,1044,714,2714,1246,1271,1245,2403,2603,958,517,899,"fig|536231.75.peg.1279|RIL182_01215   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01216,2556.075,1833.669,1929.191,4483.276,3062.547,2754.669,2193.261,4561.303,5503.731,2534.616,1140.006,1478.327,"fig|536231.75.peg.1280|RIL182_01216   Transposase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01217,224.573,146.78,171.094,143.465,91.619,64.289,244.591,283.286,299.698,47.675,30,80.313,"fig|536231.75.peg.1281|RIL182_01217   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01218,228.46,162.989,209.169,376.866,688.74,219.572,62.327,90.391,73.574,0,59.811,6.21,"fig|536231.75.peg.1282|RIL182_01218   Transposase, IS200 family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01219,656.27,494.324,399.328,1099.194,383.725,354.584,1402.39,1266.757,1124.573,506.553,139,396.98,"fig|536231.75.peg.1283|RIL182_01219   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01220,2204.312,1889.986,1690.95,4377.102,4067.378,2819.998,3461.208,3736.356,1750.88,1049.486,0,620.489,"fig|536231.75.peg.1284|RIL182_01220   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01221,56.205,31.848,15.937,33.886,0,17.893,0,2.489,5.598,11,0,0,"fig|536231.75.peg.1285|RIL182_01221   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1286   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",27.79,32.547,45.677,1.925,46.481,20.797,14.701,37.738,34.128,0,0,0,"fig|536231.75.peg.1286   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01223,766.078,664.792,678.96,2174.148,1428.589,922.239,1090.983,1680.545,2149.937,473.93,228.457,527.392,"fig|536231.75.peg.1288|RIL182_01223   Transposase   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1289   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,1,3,0,0,0,"fig|536231.75.peg.1289   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01224,226.411,181.175,216.033,209.497,95.275,104.308,202.804,143.317,123.182,53,11,25,"fig|536231.75.peg.1290|RIL182_01224   Mobile element protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01225,2975,2788,4077.012,1712,1834,1782,1918.902,2294,1387,266,279,569,"fig|536231.75.peg.1291|RIL182_01225   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1292   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",12,3,9,5,0,0,12,14,16,0,0,0,"fig|536231.75.peg.1292   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01226,19,25,16,43,14,7,24,44,76,17,0,2,"fig|536231.75.peg.1293|RIL182_01226   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01227,4,1,7,0,0,0,1,4,16,4,0,7,"fig|536231.75.peg.1294|RIL182_01227   Phosphoglycerate/bisphosphoglycerate mutase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01228,513,555,519,939,1036,531,392,793,592,256,170,246,"fig|536231.75.peg.1295|RIL182_01228   Phosphoglycerate/bisphosphoglycerate mutase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01229,402,329,474,587,536,436.828,252,407,355,138,65,174,"fig|536231.75.peg.1296|RIL182_01229   Sulfate transport system permease protein CysW   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1297   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.1297   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01230,1,2,9,12,0,13,1,1,3,4,0,0,"fig|536231.75.peg.1298|RIL182_01230   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01231,0,2,0,9,33,3.175,0,2,4,0,0,0,"fig|536231.75.peg.1299|RIL182_01231   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01232,4500,3725.009,6137,5125,5369.173,5739,3789,5306,4662,3231,2431,3810,"fig|536231.75.peg.1300|RIL182_01232   Putative membrane-spanning protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01233,190,193,189,1069,629,520.478,254,260,143,233,290,124,"fig|536231.75.peg.1301|RIL182_01233   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01235,703,497,405,735,514,531.067,877.491,1573,1459,1067,457,678,"fig|536231.75.peg.1303|RIL182_01235   Domain of unknown function (DUF368) superfamily   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01236,1836,1493,1599,3645,2509,2313,2153,3376,4342,3061,1113,2329,"fig|536231.75.peg.1304|RIL182_01236   Lipid A export permease/ATP-binding protein MsbA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01237,2387,1964,2213,4444,3243,2958,2441,4252,5203,3723,1967,2615,"fig|536231.75.peg.1305|RIL182_01237   Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01238,180,96,96,481,208,205,190,318,306,348,253,214,"fig|536231.75.peg.1306|RIL182_01238   Transcriptional repressor for pyruvate dehydrogenase complex   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01239,20078.126,15855.086,18384,28280,35452,17886,21046.222,32745.663,22322,10370,5217,9482,"fig|536231.75.peg.1307|RIL182_01239   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01240,2166,1870,1694,6908,4831,3552,8062,12844,8595,4351,991,3670,"fig|536231.75.peg.1308|RIL182_01240   Methyl-accepting chemotaxis sensor/transducer protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01241,2055,1985,2705,3363,1947,1790,3130,4106,3652,2001,773,1604,"fig|536231.75.peg.1309|RIL182_01241   Cardiolipin synthase, bacterial type ClsA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01242,3652,2752,2405.029,7266.015,8670,3188,3744,4553,4203,3073,1592,2536,"fig|536231.75.peg.1310|RIL182_01242   GTP pyrophosphokinase (EC 2.7.6.5)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01243,1753,890,1652.088,6456,3640,5927,3083,7173.08,20733,13870,4031,9191,"fig|536231.75.peg.1311|RIL182_01243   Serine--pyruvate aminotransferase (EC 2.6.1.51)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01244,873,410,1140,2621,1134,2707,1490,2873,7482,5199,1436,3272,"fig|536231.75.peg.1312|RIL182_01244   Substrate-specific component PdxU2 of predicted pyridoxin-related ECF transporter   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01245,69526.091,41157.28,80699.553,46366.967,35118,21658.959,78374.235,63879.895,25494,6640,6853,11656.978,"fig|536231.75.peg.1313|RIL182_01245   Cold shock protein of CSP family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01246,509,338.002,337.001,988.033,838,644.041,424.001,1198.014,2092,932,317,637.022,"fig|536231.75.peg.1314|RIL182_01246   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.1315   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,1,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.1315   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01247,1382.211,1088,1320,2866,2491,1805,1929.007,3426,3374,1789,812,1702,"fig|536231.75.peg.1316|RIL182_01247   Aspartyl aminopeptidase (EC 3.4.11.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01248,600,576,760,784,619,696,1086,1433,1148,577,288,476,"fig|536231.75.peg.1317|RIL182_01248   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01249,29881.752,25631.943,29348.605,60439,61632,38105.781,29344.01,48263.347,43911,11151,6971,10854,"fig|536231.75.peg.1318|RIL182_01249   DegV family protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01250,896,725,1038,2172,1017,1386,2353,3883,4949,1299,336,1021,"fig|536231.75.peg.1319|RIL182_01250   Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01251,610,539,720,1676,1774,1330,1380,2753,3720,1245,298,844,"fig|536231.75.peg.1320|RIL182_01251   Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01252,595,468,451,1241,1426,1230,1060,1795,2369,748,237,575,"fig|536231.75.peg.1321|RIL182_01252   N-acylneuraminate cytidylyltransferase (EC 2.7.7.43)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01253,480,494,797,1068,1429,704,444,488,414,128,96,159,"fig|536231.75.peg.1322|RIL182_01253   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01254,267,208,215,689,387,338,301,485.007,753,250,55,72,"fig|536231.75.peg.1323|RIL182_01254   Sensory box histidine kinase/response regulator   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_01255,61,65,52,295,202,89,61,90,103,53,0,23,"fig|536231.75.peg.1324|RIL182_01255   Enolase (EC 4.2.1.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
