,GC124670,GC124671,GC124672,GC124673,GC124674,GC124675,GC124676,GC124677,GC124678,original_tags
RIL182_00791,9665.015,10965.081,4307,5451,6960,3084,2164,2204,3030,"fig|536231.75.peg.831|RIL182_00791   UDP-glucose 4-epimerase (EC 5.1.3.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00792,3215.001,3155,1622,1782,2476,1232,800,1015,1247,"fig|536231.75.peg.832|RIL182_00792   Putative N-acetylgalactosaminyl-diphosphoundecaprenol glucuronosyltransferase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00793,3366.611,3071.558,1405,2754,3054,1402,1745,1702,2410,"fig|536231.75.peg.833|RIL182_00793   dTDP-Rha:A-D-GlcNAc-diphosphoryl polyprenol, A-3-L-rhamnosyl transferase WbbL   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00794,32930.906,46374.823,14773,12325,22592,16079,1431,1280,2124,"fig|536231.75.peg.834|RIL182_00794   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00795,26009.795,30558.207,16347.59,11831,16831,13191.058,1059,1124,2008,"fig|536231.75.peg.835|RIL182_00795   Teichoic acid translocation permease protein TagG   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00796,53943.813,71069.335,25246,19960,33469.028,25656,1867,1720,3063,"fig|536231.75.peg.836|RIL182_00796   Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00797,83743.225,107440.083,44778,21313,35822.054,39291.962,1718,1948,3071,"fig|536231.75.peg.837|RIL182_00797   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00798,58515.438,74179.64,38017,14745.539,24144.604,26307,2272,2203,3519,"fig|536231.75.peg.838|RIL182_00798   Putative N-acetylgalactosaminyl-diphosphoundecaprenol glucuronosyltransferase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00799,30408.605,43603.23,15638,11151,18074.47,19418.208,2140,2508,4028,"fig|536231.75.peg.839|RIL182_00799   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00800,35015.802,49498.251,13859,19955.16,29760.566,21682.625,4163,3213,5941.098,"fig|536231.75.peg.840|RIL182_00800   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00801,2981.934,4168,2127,2281,3530.666,3601,227,286,503,"fig|536231.75.peg.841|RIL182_00801   Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00802,11695.92,9689,4749,11091,12817,6065,6963,7400,11937,"fig|536231.75.peg.842|RIL182_00802   CDP-4-dehydro-6-deoxy-D-glucose 3-dehydratase (EC 4.2.1.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00803,46371.231,45025.814,24029,21426.947,29208.067,16003,34720,32548,46936,"fig|536231.75.peg.843|RIL182_00803   TPP-requiring enzyme co-localized with putative O-antigen rfb gene cluster   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00804,2895.167,3849,1436,2690,3884,2589,927,1119,1961,"fig|536231.75.peg.844|RIL182_00804   SAM-dependent methyltransferase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00805,2363,3350.386,1657,2573,4025,2562,1698,1659,2376,"fig|536231.75.peg.845|RIL182_00805   UDP-glucose 4-epimerase (EC 5.1.3.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00806,2259,2549,872,1799,2323,1283,1231,1568,2608,"fig|536231.75.peg.846|RIL182_00806   Threonine dehydrogenase and related Zn-dependent dehydrogenases   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00807,8148.047,9604.003,2863,4984,6821.084,6266,1645,1452,2631,"fig|536231.75.peg.847|RIL182_00807   Glycosyltransferase involved in cell wall biogenesis   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00808,5863.008,6176,4698,4373,5271,3257,1723,1741,4110,"fig|536231.75.peg.848|RIL182_00808   CDP-glucose 4,6-dehydratase (EC 4.2.1.45)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00809,830,1081,503,658,941,859,279,424,389,"fig|536231.75.peg.849|RIL182_00809   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00810,2367.45,2703.663,811.592,1103.997,1853.317,969.747,1042.658,348.125,1165.554,"fig|536231.75.peg.850|RIL182_00810   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00811,11627.222,7232.764,3865.438,12919.52,10213.723,5309.544,9224.957,8968.945,13440.679,"fig|536231.75.peg.851|RIL182_00811   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00820,76,68,25,19,18,49,24,41,22,"fig|536231.75.peg.860|RIL182_00820   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00821,14,23,4,2,2,7,0,0,10,"fig|536231.75.peg.861|RIL182_00821   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00822,400,439,68,144,118,380,96,82,159,"fig|536231.75.peg.862|RIL182_00822   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.863   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",70,65,61,34,67,37,0,0,4,"fig|536231.75.peg.863   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00823,30885.665,24451.004,16373,21449,21522.546,16948,12029,10462,19660,"fig|536231.75.peg.864|RIL182_00823   Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00824,31411.292,23928.841,13216,25626.243,20461.061,17839,14026.641,11204.82,20179,"fig|536231.75.peg.865|RIL182_00824   Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00825,2768,2056.468,608,2094.757,1692.287,1571,677.359,804.18,1214,"fig|536231.75.peg.866|RIL182_00825   Mutator MutT protein (7,8-dihydro-8-oxoguanine-triphosphatase) (EC 3.6.1.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00826,13067.022,9379,4979,8993.214,7277,6425,9262,7421,12906,"fig|536231.75.peg.867|RIL182_00826   Low G+C gram positive nudix hydrolase YtkD (EC 3.6.-.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00827,62795.116,52321.826,21496,43081.962,49282.848,24693.613,22688,24929,37584,"fig|536231.75.peg.868|RIL182_00827   Cell division trigger factor (EC 5.2.1.8)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00828,10570.754,7979.002,4463,11524.05,10598,6347,5954,6258,10296,"fig|536231.75.peg.869|RIL182_00828   ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00829,25406.726,19737.573,8665,23049.014,23266.053,15157,15341,14186,20254,"fig|536231.75.peg.870|RIL182_00829   ATP-dependent Clp protease ATP-binding subunit ClpX   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00830,48838.332,39203.248,29276.541,28243.41,39584.889,20309,25888,25592,39527,"fig|536231.75.peg.871|RIL182_00830   ATP-dependent protease La (EC 3.4.21.53) Type I   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00831,819.277,1023.489,857.099,579.582,532.597,610.669,169.714,506.159,908.461,"fig|536231.75.peg.872|RIL182_00831   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00832,7626,5167,3178,6250,5904,3265,7035,6666,8864,"fig|536231.75.peg.873|RIL182_00832   GTP-binding protein EngB   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00833,13496.596,10549.148,6546,16817,13580,8726,10080,10464,17724,"fig|536231.75.peg.874|RIL182_00833   Carbamate kinase (EC 2.7.2.2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00834,34954.037,29638.43,18190,36142.205,31489.112,21495.255,30766,26841,41981,"fig|536231.75.peg.875|RIL182_00834   Pyruvate kinase (EC 2.7.1.40) / Phosphohistidine swiveling domain   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00835,51,37,48,29,30,33,87,42,116,"fig|536231.75.peg.876|RIL182_00835   Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00836,1043,1042.637,686,582,671,603,379,335,597,"fig|536231.75.peg.877|RIL182_00836   Transcriptional regulator, AraC family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00837,11646.031,7668,5663,18522,8971.088,8116,8217,7197,11567,"fig|536231.75.peg.878|RIL182_00837   Cellobiose phosphorylase (EC 2.4.1.20)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00838,13956,9803.001,7088,48426.602,22782.204,18298,51960,46501,62508,"fig|536231.75.peg.879|RIL182_00838   Transcriptional regulator, LacI family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.880   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",200,178,112,335,187,121,73,34,120,"fig|536231.75.peg.880   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00839,23836.779,16597.93,8132.077,146570.844,51053.443,55772.362,34437.727,33154.768,48166.773,"fig|536231.75.peg.881|RIL182_00839   ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00840,3039.01,2591,1516,9479.994,4516.099,2796,2306,1860,3274,"fig|536231.75.peg.882|RIL182_00840   Possible alpha-xyloside ABC transporter, permease component   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00841,3740,2616,1749,15485.213,7010.125,4640.106,4162,3661,5688,"fig|536231.75.peg.883|RIL182_00841   Possible alpha-xyloside ABC transporter, permease component   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00842,772,1275,390,618,1061,446,97,57,107,"fig|536231.75.peg.884|RIL182_00842   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00843,20420.59,13831.131,7176.098,16141.065,15831.003,15879,13457,11573,19057,"fig|536231.75.peg.885|RIL182_00843   RND multidrug efflux transporter; Acriflavin resistance protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00844,23084.602,14520.092,11251,12849,12332.03,9824,13200,13934,20350,"fig|536231.75.peg.886|RIL182_00844   Valyl-tRNA synthetase (EC 6.1.1.9)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00845,9914.29,8430,6730,15969.697,12080.059,9417,11346,13241,24419,"fig|536231.75.peg.887|RIL182_00845   Serine phosphatase RsbU, regulator of sigma subunit   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00846,14,7,0,2,24,9,0,0,0,"fig|536231.75.peg.888|RIL182_00846   Uncharacterized protein Cphy_0474   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00847,20974.81,18528.068,9994,35729,26024.148,18443,10368,12124,19249,"fig|536231.75.peg.889|RIL182_00847   TPR repeat precursor   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00848,10,0,11,8,11,0,6,23,0,"fig|536231.75.peg.890|RIL182_00848   Anti-sigma F factor antagonist   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00849,17,21,6,34,17,12,30,14,4,"fig|536231.75.peg.891|RIL182_00849   Anti-sigma F factor (EC 2.7.11.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00850,7,13,0,10,8,2,15,31,17,"fig|536231.75.peg.892|RIL182_00850   RNA polymerase sporulation specific sigma factor SigF   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00851,717,508,261,956,661,613,1282,942,1945,"fig|536231.75.peg.893|RIL182_00851   Haloacid dehalogenase-like hydrolase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00852,904,657,196,1651,1175.143,896,1676,1918,2918,"fig|536231.75.peg.894|RIL182_00852   HD-domain protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00853,3145,2715,1388,12697,6445.156,7071,20386,18364,29794.566,"fig|536231.75.peg.895|RIL182_00853   HD-domain protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00854,187,128,131,255,101,226,555,554,819,"fig|536231.75.peg.896|RIL182_00854   Hcp transcriptional regulator HcpR (Crp/Fnr family)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00855,3754,5820,3297,3147,3159,1584,1982,1665,2733,"fig|536231.75.peg.897|RIL182_00855   Ferredoxin 3 fused to uncharacterized domain   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00856,4858,3600,1967,3788,2687,1374,6511,4956,6377,"fig|536231.75.peg.898|RIL182_00856   Hydroxylamine reductase (EC 1.7.99.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00857,6888.589,5729,2298,12466.443,9390.174,6958,4713,5498,9177,"fig|536231.75.peg.899|RIL182_00857   Sporulation kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00858,8819.058,6428,3421,19510,12648.334,9922,15715,12627,20178,"fig|536231.75.peg.900|RIL182_00858   Glycoside hydrolase, family 43   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00859,132.058,133,7,146,91,83,39,61,91,"fig|536231.75.peg.901|RIL182_00859   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00860,433.266,296.614,203,656.699,435.226,414.488,1119.271,800.747,1082.716,"fig|536231.75.peg.902|RIL182_00860   Glucans biosynthesis protein C (EC 2.1.-.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00861,303.734,291.386,224,462.301,355.774,245.512,279.729,222.253,333.284,"fig|536231.75.peg.903|RIL182_00861   Acyltransferase 3   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00862,8339.222,10797.008,4508,27500.699,12291,14215,17489,18519,33093,"fig|536231.75.peg.904|RIL182_00862   probable Hsp20-family heat shock chaperone   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00864,67,76,4,71,50,68,227,204,373,"fig|536231.75.peg.905|RIL182_00864   Two-component transcriptional response regulator, OmpR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00865,233,273,44,357,204,492,847,708,1348,"fig|536231.75.peg.906|RIL182_00865   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00866,563,557,137,1573,783,849,521,408,809,"fig|536231.75.peg.907|RIL182_00866   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00867,2445,2042,1073,5422,2566,3259,5834,4958,6719,"fig|536231.75.peg.908|RIL182_00867   beta-glucosidase (EC 3.2.1.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00868,154,191,56,257,152,171,307,408,573,"fig|536231.75.peg.909|RIL182_00868   Two-component transcriptional response regulator, LuxR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00869,1422,961,671,1648,1177,1292,2060,1680,2771,"fig|536231.75.peg.910|RIL182_00869   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00870,40,28,9,40,29,25,33,55,33,"fig|536231.75.peg.911|RIL182_00870   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00871,4504,6626,3208,2621,1846,2653,1769,1527,2226,"fig|536231.75.peg.912|RIL182_00871   beta-glucosidase (EC 3.2.1.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00872,967,1159,1029,482,362,528,196,259,352,"fig|536231.75.peg.913|RIL182_00872   beta-glucosidase (EC 3.2.1.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00873,3018,4638.41,437,988,1583,472,103,91,146,"fig|536231.75.peg.914|RIL182_00873   Transcriptional regulator, AcrR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00874,626.013,546,292,159,333,38,64,35,82,"fig|536231.75.peg.915|RIL182_00874   Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 1   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00875,515,413,210,123,261,93,128,65,170,"fig|536231.75.peg.916|RIL182_00875   Heterodimeric efflux ABC transporter, permease/ATP-binding subunit 2   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00876,4598.025,4327.089,2205,5372,4316,7428.497,3440,3787,7322,"fig|536231.75.peg.917|RIL182_00876   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.918   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,6,0,0,0,0,0,0,0,"fig|536231.75.peg.918   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00877,801,686,168,461,491,239,339,305,409,"fig|536231.75.peg.919|RIL182_00877   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00878,1014,878,426,1675,1001,1069,1367,1160,2980,"fig|536231.75.peg.920|RIL182_00878   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.921   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",27.602,32.828,40.507,16.075,31.869,22.202,0,0,0,"fig|536231.75.peg.921   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00879,1166,784,592,1107,775,1356,633,646,1066,"fig|536231.75.peg.922|RIL182_00879   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00880,8009.194,5128,3430,10325.04,4677.141,9402,11577,11760,20353,"fig|536231.75.peg.923|RIL182_00880   Branched-chain amino acid aminotransferase (EC 2.6.1.42)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00881,7761,5383.529,2987,6456,5533,3573,3879,4682,6899,"fig|536231.75.peg.924|RIL182_00881   Thermostable carboxypeptidase 1 (EC 3.4.17.19)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00882,2470.196,2383,1047,2023,1716,1326,784,714,1477,"fig|536231.75.peg.925|RIL182_00882   5'-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00883,6991.99,5395,3440,6161,5074,6086,3977,3632,5410,"fig|536231.75.peg.926|RIL182_00883   Kef-type K+ transport systems (NAD-binding component fused to domain related to exopolyphosphatase)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00884,22312.352,14739,8976,23031.949,21852.678,14352,19793,20165,28597,"fig|536231.75.peg.927|RIL182_00884   Isoleucyl-tRNA synthetase (EC 6.1.1.5)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00885,20539.428,18091,11589,25365.146,22861.844,15870,14462,15713,25162,"fig|536231.75.peg.928|RIL182_00885   Glycogen phosphorylase (EC 2.4.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00886,1999.004,2554,1289,2769,3873.838,1558,1566,1867,5408,"fig|536231.75.peg.929|RIL182_00886   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.930   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,4,0,0,0,0,0,0,5,"fig|536231.75.peg.930   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.931   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",2,5,0,57,55,83,0,0,15,"fig|536231.75.peg.931   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00887,1192,964,326,20976,21683.241,20837.803,6538,6853,12171,"fig|536231.75.peg.932|RIL182_00887   Two-component transcriptional response regulator, OmpR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00888,5754.442,4497,2265,79804.615,61629.526,99608.609,81031,75667,116741.388,"fig|536231.75.peg.933|RIL182_00888   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00889,4903.519,3477,1454,24687.147,18526.213,20646,23229,22412,34049,"fig|536231.75.peg.934|RIL182_00889   SSU ribosomal protein S1p   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.935   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",10,21,9,14,13,16,17,0,9,"fig|536231.75.peg.935   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00890,4328,5456.979,2425,1684,2598,2966,482,803,1069,"fig|536231.75.peg.936|RIL182_00890   Transcriptional regulator, MarR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00891,8127.681,6471.395,4026,6689,5308,5967.085,7409,6688,13698,"fig|536231.75.peg.937|RIL182_00891   Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00892,4097.572,2947.098,2114,2231.344,1943.643,2102,3161.868,2369,3936,"fig|536231.75.peg.938|RIL182_00892   branched-chain amino acid transport   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00893,543.127,535.902,313,456,390.357,265,381.132,365,563,"fig|536231.75.peg.939|RIL182_00893   Branched-chain amino acid transport protein AzlD   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00894,5690.303,3605,2553,4939,3581,4169,4657,5740,8164,"fig|536231.75.peg.940|RIL182_00894   Diaminopimelate decarboxylase (EC 4.1.1.20)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00895,2836,2293,1512,2426,2003,1962,4297,3781,6045,"fig|536231.75.peg.941|RIL182_00895   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00896,294,264,135,165,111,118,139,93,361,"fig|536231.75.peg.942|RIL182_00896   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.943   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",2.021,12,12,4.311,6,4.989,0,0,0,"fig|536231.75.peg.943   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00898,15509.405,10974,5179,10906.478,10070,10393,6248,6703,9823,"fig|536231.75.peg.945|RIL182_00898   Cell division trigger factor (EC 5.2.1.8)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00899,32548.623,27724.949,18686,17961,18543.523,14718,10729,9964,16881,"fig|536231.75.peg.946|RIL182_00899   Asparaginyl-tRNA synthetase (EC 6.1.1.22)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00900,10917.224,9942,5728,44284.508,26831,33205,26104,19643,30066,"fig|536231.75.peg.947|RIL182_00900   FIG01964566: Predicted membrane protein, hemolysin III homolog   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00901,22374.97,20111.753,8249,76447.97,40507.502,38300.853,29530.966,22509,35071,"fig|536231.75.peg.948|RIL182_00901   aldose epimerase family protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00902,319,358.029,219,641.028,645,193,211.034,282,430,"fig|536231.75.peg.949|RIL182_00902   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00903,14173.64,9484.217,6962,15691.73,12929.754,14534,26877,22509,36598.821,"fig|536231.75.peg.950|RIL182_00903   Uracil-xanthine permease   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00904,891.849,1083.765,310,728.27,777.803,315,129,229,311.179,"fig|536231.75.peg.951|RIL182_00904   Six-cysteine peptide SCIFF   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00905,27801.961,20601.857,12959,27360,25023.028,23162,18235,17006,23254,"fig|536231.75.peg.952|RIL182_00905   SCIFF radical SAM maturase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00906,52652.586,45169.691,32353,53200.177,50612.029,62788,18312,20871,31926,"fig|536231.75.peg.953|RIL182_00906   Protein translocase subunit SecD / Protein translocase subunit SecF   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00907,313.315,228.146,158.765,170.841,202,90,108,79,232,"fig|536231.75.peg.954|RIL182_00907   Uncharacterized membrane protein YsdA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00908,17265.689,12561,8671.235,5954.487,6005,4084,6971,6473,10243,"fig|536231.75.peg.955|RIL182_00908   Serine hydroxymethyltransferase (EC 2.1.2.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00909,1927.039,3307,1325,290,253,385,116,89,201,"fig|536231.75.peg.956|RIL182_00909   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00910,354,302,291,178,80,228,120,58,194,"fig|536231.75.peg.957|RIL182_00910   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.958   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",36,17,19,19,8,21,12,0,34,"fig|536231.75.peg.958   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00911,17163.225,12341.686,8963,29682.746,23347.003,22075,18615.782,17741,30285,"fig|536231.75.peg.959|RIL182_00911   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00912,3947.023,2908,2141,7662,5505,5382,8990,6674,10634,"fig|536231.75.peg.960|RIL182_00912   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00913,7140.498,5825,4658,12830,11263,10529,8343,7246,11871,"fig|536231.75.peg.961|RIL182_00913   Lipolytic enzyme   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00914,4396,2801,2066,4403,2432,4916,8774,9250,16387,"fig|536231.75.peg.962|RIL182_00914   6-phosphofructokinase (EC 2.7.1.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00915,4427.024,3509,1861,8951.226,7491,4385,5642,5214,8982,"fig|536231.75.peg.963|RIL182_00915   radical activating enzyme   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00916,4547.647,3447,2054,6946,5797,3285,1341,1641,3261,"fig|536231.75.peg.964|RIL182_00916   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00917,25483.268,19274,10471.304,31583.352,28015.375,18517,37271,36256,53935,"fig|536231.75.peg.965|RIL182_00917   ATP-dependent Clp protease, ATP-binding subunit ClpC   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00918,26267.928,35530.017,6325.696,12833,18666.975,9482,2808,4707,9418,"fig|536231.75.peg.966|RIL182_00918   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00919,150,238,59,25,94,142,0,0,38,"fig|536231.75.peg.967|RIL182_00919   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00920,8856,9478.196,4222,2843,4103,3388,2863,2564,4840,"fig|536231.75.peg.968|RIL182_00920   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00921,1627.178,1318,980,1802,1821.044,1393,1791,2130,2577,"fig|536231.75.peg.969|RIL182_00921   DNA repair protein RadA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00927,977,830,582,394,523,201,80,158,179,"fig|536231.75.peg.970|RIL182_00927   PAPS reductase-like domain / putative 4Fe-4S cluster domain   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00928,253,298,46,192,190,157,116,110,115,"fig|536231.75.peg.971|RIL182_00928   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
