,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738,original_tags
RIL182_00361,14,21,16,9,0,0,20,23,0,650,522,334,476,429,551,"fig|536231.75.peg.371|RIL182_00361   Multidrug-efflux transporter transcription regulator BltR   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.372   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",11,8,9,0,5,2,0,0,0,1,0,0,22,29,50.808,"fig|536231.75.peg.372   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00362,114,193,237,41,38,42,46,19,6,493.034,567.959,327,1882.391,1577.069,1683.192,"fig|536231.75.peg.373|RIL182_00362   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00363,66,150,179,40,52,52,56,38,32,499.966,804.041,460,1427.609,1192.931,1177,"fig|536231.75.peg.374|RIL182_00363   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00364,125,110,196,34,45,52,12,21,11,219,253,248,1632,1198,1502,"fig|536231.75.peg.375|RIL182_00364   Sulfate permease   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00365,14,20,19,4,0,9,0,0,0,53,57,73,469,286,215,"fig|536231.75.peg.376|RIL182_00365   DNA base-flipping protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00366,535,1460,2223,122,182,190,65,107,87,1992,1915,2169,8087,5610,6049,"fig|536231.75.peg.377|RIL182_00366   Iron-sulfur cluster regulator IscR   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00367,1055,1838,2878,171,264,221,303,177,314,6548,6745,7563,11520,8553,11100,"fig|536231.75.peg.378|RIL182_00367   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.379   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",10,6,8,0,0,3,0,0,0,0,0,8,46,39,23,"fig|536231.75.peg.379   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00368,959,1847,3164,215,197,201,154,89,144,2392,2492,2302,5012,3880,4586,"fig|536231.75.peg.380|RIL182_00368   2-isopropylmalate synthase (EC 2.3.3.13)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00369,124,270,382,31,16,21,0,0,8,189,257,181,1692,1337,1473,"fig|536231.75.peg.381|RIL182_00369   Iron-dependent repressor   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00370,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.382|RIL182_00370   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00371,57,107,213,6,8,4,29,45,11,371,391,546,669,475,553,"fig|536231.75.peg.383|RIL182_00371   Hemolysins and related proteins containing CBS domains   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00372,170,286,361,72,92,73,16,39,18,578,436,865,2624,1888,2094,"fig|536231.75.peg.384|RIL182_00372   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00373,2865,3729.08,6209.081,1683,2060,1801,371,498,288,4542.875,4460,6498.311,20267,15656,18331.004,"fig|536231.75.peg.385|RIL182_00373   Cysteine desulfurase (EC 2.8.1.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00374,1028,1283.92,2391.919,844.655,1020,896,205,247,186,3427.125,3295,3874.689,11273,9119,10159.996,"fig|536231.75.peg.386|RIL182_00374   Iron-sulfur cluster assembly scaffold protein IscU/NifU-like   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00375,4230,6339,10560.977,2573.345,2791,2778,424,540,433,5380,4876,7958,27155,22420.825,25795,"fig|536231.75.peg.387|RIL182_00375   O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00376,2233,3768,6459,1916,2196,2158,542,452,325,7964,7615,9702,34758,30343.414,32335,"fig|536231.75.peg.388|RIL182_00376   Cysteine synthase (EC 2.5.1.47)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.389   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.389   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00377,47,124,156,13,4,8,0,18,0,275,323,284,796,618,627,"fig|536231.75.peg.390|RIL182_00377   Signal peptidase I (EC 3.4.21.89)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00378,279,547,539,43,58,40,66,79,69,2289,2040,2626,5140,3606,4049,"fig|536231.75.peg.391|RIL182_00378   Cobalt-zinc-cadmium resistance protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00379,131,388,394,35,62,48,1,70,17,1057,1340,1368,4786,3436,3474,"fig|536231.75.peg.392|RIL182_00379   Response regulator c-di-GMP phosphodiesterase, RpfG family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00380,358,583,533,80,104,71,147,89,11,1367,1142,1579,5034,3688,4606,"fig|536231.75.peg.393|RIL182_00380   Signal transduction histidine-protein kinase BarA (EC 2.7.13.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00381,419,693,774,86,93,77,76,177,101,1488,1430,1712,6675,4782,5751,"fig|536231.75.peg.394|RIL182_00381   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00382,0,9,4,1,0,3,120,118,119,4505,4765,4249,13631,8400,8502,"fig|536231.75.peg.395|RIL182_00382   Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00383,21,4,12,2,4,0,220,254,175,5491,4850,5934,11825,6890,7491,"fig|536231.75.peg.396|RIL182_00383   Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00384,6,15,14,4,21,0,118,220,107,4127,4069,4262,13382,8744,8070.434,"fig|536231.75.peg.397|RIL182_00384   3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00385,4,3,7,0,0,0,54,6,28,973,1134,635,4159,2675,2266.566,"fig|536231.75.peg.398|RIL182_00385   6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00386,19,30,26,8,24,0,2,16,0,189,210,207,742,697,695,"fig|536231.75.peg.399|RIL182_00386   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00387,38,41,38,3,6,10,11,2,24,393,407,432,988,779,659,"fig|536231.75.peg.400|RIL182_00387   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00388,75,77,71,8,23,29,10,3,11,453,237,478,1212,853,1053,"fig|536231.75.peg.401|RIL182_00388   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00389,11,7,2,0,0,0,0,0,0,21,9,0,44,25,11,"fig|536231.75.peg.402|RIL182_00389   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00390,457,479,600,487,575,549,181,245,129,2508,2815,4073,11856,10145,11297,"fig|536231.75.peg.403|RIL182_00390   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00391,5,9,1,1,1,0,0,0,0,0,17,0,15,33,27,"fig|536231.75.peg.404|RIL182_00391   Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00392,31,40,96,7,7,6,0,0,0,246,353,462,206,158,229,"fig|536231.75.peg.405|RIL182_00392   Molybdopterin adenylyltransferase (EC 2.7.7.75)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00393,9,20,21,4,0,0,0,0,0,113,76,31,146,142,123,"fig|536231.75.peg.406|RIL182_00393   Hypothetical protein Cj1505c   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00394,124,242,442,4,32,14,63,53,11,678,591,697,1097,703,1002,"fig|536231.75.peg.407|RIL182_00394   Cysteine desulfurase (EC 2.8.1.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00395,77,117,155,23,11,14,8,24,8,441,364,490,881,684,661,"fig|536231.75.peg.408|RIL182_00395   Selenide,water dikinase (EC 2.7.9.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00396,3,2,8,0,0,1,0,0,0,18.971,22,0,90,61,40,"fig|536231.75.peg.409|RIL182_00396   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00397,75,114,200,12,6,16,0,25,0,150.029,99,203,789,522,669,"fig|536231.75.peg.410|RIL182_00397   Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00398,61,133,167,16,23,24,28,12,24,430,542,722,1039,696,968,"fig|536231.75.peg.411|RIL182_00398   Molybdopterin molybdenumtransferase (EC 2.10.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00399,65,84,131,21,14,21,44,48,19,252,232,441,675,635,642,"fig|536231.75.peg.412|RIL182_00399   GTP 3',8-cyclase (EC 4.1.99.22)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00400,13,15,29,2,7,9,0,0,0,16.499,52,125,296,285,350.728,"fig|536231.75.peg.413|RIL182_00400   FIG060329: MOSC domain protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00401,36,119,173,3,3,19,0,0,0,243.501,285,124,517,415,454.272,"fig|536231.75.peg.414|RIL182_00401   Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00402,27,42,71,15,14,21,15,9,13,115,206,205,423,221,315,"fig|536231.75.peg.415|RIL182_00402   Molybdenum ABC transporter, substrate-binding protein ModA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00403,75,91,127,22,4,7,0,14,0,208,80,96,320,219,271,"fig|536231.75.peg.416|RIL182_00403   Molybdenum ABC transporter permease protein ModB   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00404,58,162,289,19,19,13,12,9,0,222,179,204,591,489,447.234,"fig|536231.75.peg.417|RIL182_00404   Molybdenum ABC transporter ATP-binding protein ModC   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00405,16,67,95,21,18,13,0,32,7,206,159,217,481,352,478,"fig|536231.75.peg.418|RIL182_00405   Transcriptional regulator, LysR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00406,29,68,163,12,18,12,18,72,15,549,492,722,459,320,368,"fig|536231.75.peg.419|RIL182_00406   L-serine dehydratase, beta subunit (EC 4.3.1.17)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00407,12,62,86,13,17,13,21,0,12,135,121,76,381,293,198,"fig|536231.75.peg.420|RIL182_00407   L-serine dehydratase, alpha subunit (EC 4.3.1.17)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00409,8,6,2,0,0,0,0,0,0,0,5,9,31,5,1,"fig|536231.75.peg.421|RIL182_00409   Transcriptional regulator, GntR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00410,18,28,44,7,14,9,0,67,15,363,177,371,426,294,342,"fig|536231.75.peg.422|RIL182_00410   ABC transporter, ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00411,25,53,101,12,2,16,0,11,29,149,232,66,632,400,483,"fig|536231.75.peg.423|RIL182_00411   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00412,67,136,145,19,29,13,65,110,20,1594,1189,1653,1463,1085,1314,"fig|536231.75.peg.424|RIL182_00412   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00413,2882,3273,4549,320,354,332,107,79,54,1121,1036,1496,3016,2016,2658,"fig|536231.75.peg.425|RIL182_00413   4-hydroxybutyrate coenzyme A transferase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00414,144,164,178,14,19,30,23,23,0,204,112,215,595,467,543,"fig|536231.75.peg.426|RIL182_00414   Glycosyl transferase, group 2 family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.427   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,"fig|536231.75.peg.427   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.428   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.428   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00415,94,183,254,23,46,28,45,11,10,681,557,805,926,636,896,"fig|536231.75.peg.429|RIL182_00415   23S rRNA (cytosine(1962)-C(5))-methyltransferase (EC 2.1.1.191)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00416,1,29,47,9,11,3,0,0,0,28,22,50,240,179,260,"fig|536231.75.peg.430|RIL182_00416   Nitroreductase family protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.431   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.431   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00417,39,59,76,11,18,9,0,0,0,76,114,143,613,578,429,"fig|536231.75.peg.432|RIL182_00417   Transcriptional regulator, HxlR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00418,209,314,511,57,84,54,48,48,119,1196,1361,1547,3874,3096,3323,"fig|536231.75.peg.433|RIL182_00418   RNA methyltransferase, TrmA family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00419,11,54,85,14,2,0,0,13,0,60,26,49,35,44,31,"fig|536231.75.peg.434|RIL182_00419   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00420,16,1,3,1,0,0,0,0,0,7,13,0,0,9,2,"fig|536231.75.peg.435|RIL182_00420   Chromosome (plasmid) partitioning protein ParA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00421,3,5,2,0,0,0,0,0,0,0,0,0,12,10,18,"fig|536231.75.peg.436|RIL182_00421   Chromosome (plasmid) partitioning protein ParB   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00422,18,17,25,0,1,2,17,41,0,13,30,20,16,31,25,"fig|536231.75.peg.437|RIL182_00422   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.438|RIL182_00423   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"fig|536231.75.peg.439|RIL182_00424   FIG01032024: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00425,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,"fig|536231.75.peg.440|RIL182_00425   hypothetical membrane associated protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.441   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"fig|536231.75.peg.441   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00426,2,0,3,1,0,0,0,0,0,0,0,48,32,0,9,"fig|536231.75.peg.442|RIL182_00426   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00427,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,"fig|536231.75.peg.443|RIL182_00427   FIG01031813: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00428,19,37,41,9,17,20,0,20,7,97.022,116,222,315,169,285,"fig|536231.75.peg.444|RIL182_00428   DNA methylase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00429,137,270,233,9,6,0,0,9,7,175.978,75,139,126,95,164,"fig|536231.75.peg.445|RIL182_00429   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00430,416,640,642,28,24,39,62,75,76,3387,2419,4443,2524,2141,2599,"fig|536231.75.peg.446|RIL182_00430   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00431,4,8,3,0,1,0,0,10,0,7,0,0,38,35,6,"fig|536231.75.peg.447|RIL182_00431   TnpY   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.448|RIL182_00432   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00434,0,0,2,0,0,0,0,0,0,9,0,11,0,0,0,"fig|536231.75.peg.449|RIL182_00434   Relaxosome component   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00435,0,2,5,4,0,0,0,0,12,23,0,41,17,23,29,"fig|536231.75.peg.450|RIL182_00435   Relaxase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00436,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,"fig|536231.75.peg.451|RIL182_00436   FIG01117807: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00437,7,4,6,0,1,0,5,4,0,0,5,0,12,6,19,"fig|536231.75.peg.452|RIL182_00437   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00438,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,"fig|536231.75.peg.453|RIL182_00438   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00439,1,3,9,0,0,4,17,13,7,13,0,12,7,6,3,"fig|536231.75.peg.454|RIL182_00439   TrsK-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00440,4,1,0,0,0,1,0,0,0,0,8,0,0,9,2,"fig|536231.75.peg.455|RIL182_00440   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00441,0,0,0,0,0,2,0,0,0,0,0,23,12,1,2,"fig|536231.75.peg.456|RIL182_00441   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00442,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,"fig|536231.75.peg.457|RIL182_00442   FIG00517673: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00443,10,12,5,2,0,1,0,0,26,0,34,49,24,34,28,"fig|536231.75.peg.458|RIL182_00443   FIG01020158: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00444,0,0,4.999,1,0,0,0,0,0,0,0,0,4,6,0,"fig|536231.75.peg.459|RIL182_00444   FIG01117768: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00445,0,4,3.001,0,2,9,0,6,16,41,0,51,36,30,13,"fig|536231.75.peg.460|RIL182_00445   NPQTN specific sortase B   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00446,1,9,20,5,3,9,8,0,8,22,20,14,71,59,40,"fig|536231.75.peg.461|RIL182_00446   Invasion associated protein p60   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00447,212,676,1097,75,38,90,73,103,113,1567,1085,2012,1020,866,965,"fig|536231.75.peg.462|RIL182_00447   Transcriptional regulator, MerR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00448,0,1,0,0,0,0,0,0,0,0,1,0,0,5,1,"fig|536231.75.peg.463|RIL182_00448   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00449,13,29,53,1,0,5,7,0,0,263,161,159,742,491,554,"fig|536231.75.peg.464|RIL182_00449   ABC transporter-coupled two-component system, LuxR family response regulator   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00450,41,40,72,25,45,31,2,3,5,527,339,612,1214,975,1009,"fig|536231.75.peg.465|RIL182_00450   ABC transporter-coupled two-component system, signal transduction histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00451,39,27,50,1,12,6,12,0,0,87,129,107,405,331,380,"fig|536231.75.peg.466|RIL182_00451   ABC transporter-coupled two-component system, ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00452,150,184,200,51,31,29,27,45,52,1563,1383,1827,3151,2507,3083,"fig|536231.75.peg.467|RIL182_00452   ABC transporter-coupled two-component system, fused permease protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00453,2,19,21,3,0,0,0,8,0,192,180,204,480,461,448,"fig|536231.75.peg.468|RIL182_00453   Phosphoesterase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00454,0,0,0,0,0,0,0,0,0,0,6,0,1,0,2,"fig|536231.75.peg.469|RIL182_00454   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00455,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,"fig|536231.75.peg.470|RIL182_00455   Programmed cell death toxin YdcE   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00456,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.471|RIL182_00456   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00457,0,89,87,9,0,1,0,0,0,43,16,25,71,38,65,"fig|536231.75.peg.472|RIL182_00457   Site-specific recombinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00458,0,7,5,0,0,0,0,0,0,0,15,14,10,32,15,"fig|536231.75.peg.473|RIL182_00458   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00459,6,0,0,0,0,0,0,0,0,0,0,0,4,0,2,"fig|536231.75.peg.474|RIL182_00459   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00460,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.475|RIL182_00460   Transmembrane component of general energizing module of ECF transporters   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00461,0,6,3,0,0,0,0,9,0,23,0,21.306,2,6,10,"fig|536231.75.peg.476|RIL182_00461   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00462,0,13,4,1,0,8,0,0,0,22,0,23,164,167,168,"fig|536231.75.peg.477|RIL182_00462   Transposase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00463,0,0,0,0,0,0,0,0,0,8,5,25,0,0,9,"fig|536231.75.peg.478|RIL182_00463   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00464,0,0,0,0,0,0,0,0,0,0,28,0,37,21,20,"fig|536231.75.peg.479|RIL182_00464   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00465,0,0,2,0,0,0,0,0,0,20,10,0,4,4,11,"fig|536231.75.peg.480|RIL182_00465   FIG00523680: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"fig|536231.75.peg.481|RIL182_00466   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00467,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"fig|536231.75.peg.482|RIL182_00467   SpoVT/AbrB-like   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00468,0,0,0,0,0,0,0,0,0,0,0,9,3,1,8,"fig|536231.75.peg.483|RIL182_00468   FIG01020277: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00469,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.484|RIL182_00469   LtrC   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00470,0,1,0,0,0,0,0,0,0,0,0,0,6,11,0,"fig|536231.75.peg.485|RIL182_00470   DNA-binding protein SpoVG   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00471,0,2,8,0,0,0,0,0,0,11,0,6,15,1,1,"fig|536231.75.peg.486|RIL182_00471   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00472,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"fig|536231.75.peg.487|RIL182_00472   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00473,13,1,6,0,0,0,0,0,0,1,14,0,15,1,5,"fig|536231.75.peg.488|RIL182_00473   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00474,0,1,0,0,0,3,0,0,0,0,0,0,9,2,4,"fig|536231.75.peg.489|RIL182_00474   FIG00516869: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00475,0,6,3,0,0,0,0,0,0,0,0,0,34,25,20,"fig|536231.75.peg.490|RIL182_00475   FIG00516548: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00476,0,0,11,0,0,0,0,0,0,14,0,0,35,15,8,"fig|536231.75.peg.491|RIL182_00476   Type II/IV secretion system ATP hydrolase TadA/VirB11/CpaF, TadA subfamily   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00477,0,1,2,0,1,3,0,11,0,0,0,0,31,7,4,"fig|536231.75.peg.492|RIL182_00477   FIG00519491: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00478,9,4,11,0,0,0,0,0,0,44,18,53,38,13,31,"fig|536231.75.peg.493|RIL182_00478   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.494   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,"fig|536231.75.peg.494   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00479,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,"fig|536231.75.peg.495|RIL182_00479   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00480,0,2,1,0,0,0,0,0,0,0,11,0,12,5,15,"fig|536231.75.peg.496|RIL182_00480   FIG01019933: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00481,0,3,5,0,0,2,0,0,0,0,0,0,3,4,9,"fig|536231.75.peg.497|RIL182_00481   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00482,0,3,0,0,0,0,0,10,0,15,4,19,9,17,4,"fig|536231.75.peg.498|RIL182_00482   FIG00524085: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00483,0,0,0,0,0,0,0,0,0,0,0,10,0,3,8,"fig|536231.75.peg.499|RIL182_00483   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00484,0,0,0,3,0,0,0,5,0,0,0,0,0,7,0,"fig|536231.75.peg.500|RIL182_00484   FIG00513382: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00485,0,0,2,0,0,0,0,0,0,15,0,0,0,0,14,"fig|536231.75.peg.501|RIL182_00485   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
