,gene_ids,,ko,EC_number,cogs,cogs_description,cogs_category
1029,RIL182_01038,hypothetical protein,-,-,COG4641,"transferase activity, transferring glycosyl groups",M
1030,RIL182_01039,Seryl-tRNA synthetase (EC 6.1.1.11),ko:K01875,6.1.1.11,COG0172,"Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)",J
1031,RIL182_01040,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),ko:K03768,5.2.1.8,COG0652,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides,O
1032,RIL182_01041,hypothetical protein,-,-,29TA1,-,-
1033,RIL182_01042,hypothetical protein,NA,NA,NA,NA,NA
1034,RIL182_01043,beta-glycosyl hydrolase,ko:K01207,3.2.1.52,COG1472,"hydrolase, family 3",G
1035,RIL182_01044,ClpCP protease substrate adapter protein MecA,ko:K16511,-,COG4862,establishment of competence for transformation,NOT
1036,RIL182_01045,hypothetical protein,NA,NA,NA,NA,NA
1037,RIL182_01046,V-type ATP synthase subunit G (EC 3.6.3.14),NA,NA,NA,NA,NA
1038,RIL182_01047,V-type ATP synthase subunit C (EC 3.6.3.14),NA,NA,NA,NA,NA
1039,RIL182_01048,V-type ATP synthase subunit I (EC 3.6.3.14),ko:K02123,-,COG1269,V-type ATPase 116kDa subunit family,U
1040,RIL182_01049,V-type ATP synthase subunit K (EC 3.6.3.14),ko:K02124,-,COG0636,ATP synthase subunit C,C
1041,RIL182_01050,V-type ATP synthase subunit F (EC 3.6.3.14),ko:K02122,-,COG1436,ATP synthase (F/14-kDa) subunit,C
1042,RIL182_01051,V-type ATP synthase subunit E (EC 3.6.3.14),-,-,COG1390,"Psort location Cytoplasmic, score 8.87",C
1043,RIL182_01052,V-type ATP synthase subunit A (EC 3.6.3.14),ko:K02117,"3.6.3.14,3.6.3.15",COG1155,Produces ATP from ADP in the presence of a proton gradient across the membrane. The V-type alpha chain is a catalytic subunit,C
1044,RIL182_01053,V-type ATP synthase subunit B (EC 3.6.3.14),ko:K02118,-,COG1156,Produces ATP from ADP in the presence of a proton gradient across the membrane. The V-type beta chain is a regulatory subunit,C
1045,RIL182_01054,V-type ATP synthase subunit D (EC 3.6.3.14),ko:K02120,-,COG1394,Produces ATP from ADP in the presence of a proton gradient across the membrane,C
1046,RIL182_01055,Predicted signal transduction protein,-,-,COG3434,HDOD domain,T
1047,RIL182_01056,hypothetical protein,-,-,COG2326,"Psort location Cytoplasmic, score",S
1048,RIL182_01057,hypothetical protein,-,-,29PCB,-,-
1049,RIL182_01058,hypothetical protein,-,-,COG5433,"PFAM Transposase, IS4-like",L
1050,RIL182_01059,hypothetical protein,-,-,2ETB0,-,-
1051,RIL182_01060,Uncharacterized hydrolase DSY2054,ko:K07023,-,COG1896,"Psort location Cytoplasmic, score 8.87",D
1052,RIL182_01061,hypothetical protein,-,-,COG2309,"Psort location Cytoplasmic, score",E
1053,RIL182_01062,N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18),ko:K01588,5.4.99.18,COG0041,Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR),F
1054,RIL182_01063,Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1),ko:K01933,6.3.3.1,COG0150,Phosphoribosylformylglycinamidine cyclo-ligase,F
1055,RIL182_01064,Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2),ko:K11175,2.1.2.2,COG0299,"Catalyzes the transfer of a formyl group from 10- formyltetrahydrofolate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR) and tetrahydrofolate",F
1056,RIL182_01065,Phosphoribosylamine--glycine ligase (EC 6.3.4.13),ko:K01945,6.3.4.13,COG0151,Belongs to the GARS family,F
1057,RIL182_01066,hypothetical protein,-,-,COG1433,"Psort location Cytoplasmic, score",S
1058,RIL182_01067,Galactose/methyl galactoside ABC transporter%2C substrate-binding protein MglB (EC 3.6.3.17),ko:K10540,-,COG1879,ABC-type sugar transport system periplasmic component,G
1059,RIL182_01068,Galactose/methyl galactoside ABC transporter%2C ATP-binding protein MglA (EC 3.6.3.17),ko:K10542,3.6.3.17,COG1129,import. Responsible for energy coupling to the transport system,G
1060,RIL182_01069,Galactose/methyl galactoside ABC transporter%2C permease protein MglC (EC 3.6.3.17),ko:K10541,-,COG4211,Belongs to the binding-protein-dependent transport system permease family,G
1061,RIL182_01070,FIG01020190: hypothetical protein,-,-,2FJ6E,-,-
1062,RIL182_01071,DNA-binding response regulator%2C AraC family,ko:K07720,-,COG2207,response regulator receiver,T
1063,RIL182_01072,Two-component sensor kinase YesM (EC 2.7.3.-),ko:K07718,2.7.13.3,COG2972,Histidine kinase,T
1064,RIL182_01073,FIG00524186: hypothetical protein,ko:K10439,-,COG1879,COG1879 ABC-type sugar transport system periplasmic component,G
1065,RIL182_01074,Galactose/methyl galactoside ABC transporter%2C substrate-binding protein MglB (EC 3.6.3.17),ko:K10540,-,COG1879,ABC-type sugar transport system periplasmic component,G
1066,RIL182_01075,hypothetical protein,-,-,2DSNT,-,-
1067,RIL182_01076,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16),ko:K00820,2.6.1.16,COG0449,"Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source",M
1068,RIL182_01077,spore cortex-lytic enzyme SleC,-,-,COG3409,Peptidoglycan binding domain protein,M
1069,RIL182_01078,tRNA pseudouridine(38-40) synthase (EC 5.4.99.12),ko:K06173,5.4.99.12,COG0101,"Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs",J
1070,RIL182_01079,Single-stranded-DNA-specific exonuclease RecJ,ko:K07462,-,COG0608,Single-stranded-DNA-specific exonuclease RecJ,L
1071,RIL182_01080,Methyl-accepting chemotaxis protein,-,-,COG0840,Methyl-accepting chemotaxis protein (MCP) signalling domain,NT
1072,RIL182_01081,Lysophospholipase (EC 3.1.1.5)%3B Monoglyceride lipase (EC 3.1.1.23),-,-,COG2267,"Hydrolase, alpha beta domain protein",I
1073,RIL182_01082,Extracellular protein,-,-,COG4086,Secreted protein,S
1074,RIL182_01083,Adenine deaminase (EC 3.5.4.2),ko:K01486,3.5.4.2,COG1001,Belongs to the metallo-dependent hydrolases superfamily. Adenine deaminase family,F
1075,RIL182_01084,Transcriptional regulator%2C PadR family,ko:K10947,-,COG1695,"transcriptional regulator, PadR family",K
1076,RIL182_01085,hypothetical protein,-,-,COG4709,"Psort location CytoplasmicMembrane, score",S
1077,RIL182_01086,hypothetical protein,NA,NA,NA,NA,NA
1078,RIL182_01087,Polyglutamate synthase CapA,ko:K07282,-,COG2843,Capsule synthesis protein,M
1079,RIL182_01088,hypothetical protein,ko:K07052,-,COG1266,CAAX amino terminal protease family protein,S
1080,RIL182_01089,Transcriptional regulator,-,-,COG1917,Cupin domain,K
1081,RIL182_01090,hypothetical protein,-,-,COG2730,Belongs to the glycosyl hydrolase 5 (cellulase A) family,G
1082,RIL182_01091,Phosphoglucosamine mutase (EC 5.4.2.10),"ko:K01835,ko:K01840","5.4.2.2,5.4.2.8",COG1109,phosphoglucomutase phosphomannomutase alpha beta alpha domain II,G
1083,RIL182_01092,alpha-galactosidase (EC 3.2.1.22),ko:K07407,3.2.1.22,COG3345,alpha-galactosidase,G
1084,RIL182_01093,Transcriptional regulator%2C LacI family,"ko:K02529,ko:K03604",-,COG1609,Periplasmic binding protein LacI transcriptional regulator,K
1085,RIL182_01095,ABC transporter%2C substrate-binding protein (cluster 1%2C maltose/g3p/polyamine/iron),-,-,COG1653,Bacterial extracellular solute-binding protein,G
1086,RIL182_01096,ABC transporter%2C permease protein 1 (cluster 1%2C maltose/g3p/polyamine/iron),ko:K02025,-,COG1175,PFAM Binding-protein-dependent transport system inner membrane component,G
1087,RIL182_01097,ABC transporter%2C permease protein 2 (cluster 1%2C maltose/g3p/polyamine/iron),ko:K10119,-,COG0395,Binding-protein-dependent transport system inner membrane component,G
1088,RIL182_01098,N-acylglucosamine 2-epimerase (EC 5.1.3.8),ko:K16213,5.1.3.11,COG2942,Catalyzes the reversible epimerization of cellobiose to 4-O-beta-D-glucopyranosyl-D-mannose (Glc-Man),G
1089,RIL182_01099,4-O-beta-D-mannosyl-D-glucose phosphorylase (EC 2.4.1.281),ko:K16212,2.4.1.281,COG2152,Converts 4-O-beta-D-mannopyranosyl-D-glucopyranose (Man- Glc) to mannose 1-phosphate (Man1P) and glucose,G
1090,RIL182_01100,1%2C4-beta-mannosyl-N-acetylglucosamine phosphorylase (EC 2.4.1.320),ko:K18785,"2.4.1.319,2.4.1.320",COG2152,PFAM Glycosidase,G
1091,RIL182_01101,hypothetical protein,-,-,COG2755,cellulose binding,E
1092,RIL182_01102,putative xylanase,-,-,COG2755,GDSL-like Lipase/Acylhydrolase family,E
1093,RIL182_01103,Mannose-6-phosphate isomerase (EC 5.3.1.8),ko:K05350,3.2.1.21,COG1482,Belongs to the glycosyl hydrolase 1 family,G
1094,RIL182_01104,hypothetical protein,-,-,COG1373,"Psort location Cytoplasmic, score 8.87",S
1095,RIL182_01105,Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9) / Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5),ko:K01491,"1.5.1.5,3.5.4.9",COG0190,"Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate",F
1096,RIL182_01106,Formiminotetrahydrofolate cyclodeaminase (EC 4.3.1.4),-,-,COG3404,Formiminotransferase-cyclodeaminase,E
1097,RIL182_01107,hypothetical protein,-,-,COG2206,"metal-dependent phosphohydrolase, HD sub domain",T
1098,RIL182_01108,membrane protein%2C Bmp family,ko:K07335,-,COG1744,ABC transporter substrate-binding protein PnrA-like,S
1099,RIL182_01109,Chaperone protein ClpB (ATP-dependent unfoldase),"ko:K03695,ko:K03696",-,COG0542,"Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE",O
1100,RIL182_01110,FIG00647139: hypothetical protein,-,-,COG0534,Polysaccharide biosynthesis C-terminal domain,V
1101,RIL182_01111,hypothetical protein,-,-,COG4667,"Phospholipase, patatin family",S
1102,RIL182_01112,Beta-phosphoglucomutase (EC 5.4.2.6),ko:K01838,5.4.2.6,COG0637,Haloacid dehalogenase-like hydrolase,S
1103,RIL182_01113,Transcriptional regulator%2C LacI family,"ko:K02529,ko:K03604",-,COG1609,helix_turn _helix lactose operon repressor,K
1104,RIL182_01114,hypothetical protein,ko:K10117,-,COG1653,Bacterial extracellular solute-binding protein,G
1105,RIL182_01115,N-Acetyl-D-glucosamine ABC transport system%2C permease protein,ko:K10118,-,COG1175,PFAM binding-protein-dependent transport systems inner membrane component,P
1106,RIL182_01116,Multiple sugar ABC transporter%2C permease protein MsmG,ko:K10119,-,COG0395,"ABC-type sugar transport system, permease component",P
1107,RIL182_01117,Maltose phosphorylase (EC 2.4.1.8) / Trehalose phosphorylase (EC 2.4.1.64),"ko:K04844,ko:K10231",2.4.1.230,COG0637,"hydrolase family 65, central catalytic",G
1108,RIL182_01118,4-hydroxybenzoate polyprenyltransferase and related prenyltransferases,-,-,COG5578,"Psort location CytoplasmicMembrane, score",S
1109,RIL182_01119,Maltodextrin glucosidase (EC 3.2.1.20),-,-,COG1501,Domain of unknown function (DUF5110),G
1110,RIL182_01120,Oligo-1%2C6-glucosidase (EC 3.2.1.10),"ko:K01176,ko:K01182","3.2.1.1,3.2.1.10",COG0366,Alpha-amylase domain,G
1111,RIL182_01121,Limit dextrin alpha-1%2C6-maltotetraose-hydrolase (EC 3.2.1.196) / Pullulanase (EC 3.2.1.41),ko:K01200,3.2.1.41,COG1523,Carbohydrate-binding module 48 (Isoamylase N-terminal domain),G
1112,RIL182_01122,DNA polymerase III alpha subunit (EC 2.7.7.7),"ko:K02337,ko:K14162",2.7.7.7,COG0587,"DNA polymerase III, alpha subunit",L
1113,RIL182_01123,6-phosphofructokinase (EC 2.7.1.11),ko:K00850,2.7.1.11,COG0205,"Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis",F
1114,RIL182_01124,Uncharacterized RNA methyltransferase YsgA,ko:K03437,-,COG0566,Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family,J
1115,RIL182_01125,hypothetical protein,-,-,2CGVU,"Psort location Cytoplasmic, score",S
1116,RIL182_01126,Fic domain protein%2C HP1159 type,ko:K04095,-,COG2184,Fic/DOC family,D
1117,RIL182_01127,CRISPR-associated endoribonuclease Cas6,-,-,COG5551,CRISPR-associated endoribonuclease Cas6,S
1118,RIL182_01128,CRISPR-associated protein%2C Csm1 family,ko:K07016,-,COG1353,"CRISPR-associated protein, Csm1 family",S
1119,RIL182_01129,CRISPR-associated protein%2C Csm2 family,ko:K19138,-,COG1421,"CRISPR-associated protein, Csm2 family",L
1120,RIL182_01130,CRISPR-associated RAMP Csm3,ko:K09002,-,COG1337,"CRISPR-associated RAMP protein, Csm3 family",L
1121,RIL182_01131,CRISPR-associated RAMP protein%2C Csm4 family,ko:K19139,-,COG1567,"CRISPR-associated RAMP protein, Csm4 family",L
1122,RIL182_01132,CRISPR-associated protein%2C Csm5 family,ko:K19140,-,COG1332,"CRISPR-associated RAMP protein, Csm5 family",L
1123,RIL182_01133,hypothetical protein,NA,NA,NA,NA,NA
1124,RIL182_01134,CRISPR-associated protein Cas1,ko:K15342,-,COG1518,"CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain spacers, sequences complementary to antecedent mobile elements, and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Acts as a dsDNA endonuclease. Involved in the integration of spacer DNA into the CRISPR cassette",L
1125,RIL182_01135,CRISPR-associated protein Cas2,ko:K09951,-,COG1343,"CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease. Involved in the integration of spacer DNA into the CRISPR cassette",L
1126,RIL182_01136,CRISPR-associated protein Csm6,-,-,28K2E,CRISPR-associated protein (Cas_Csm6),S
1127,RIL182_01137,hypothetical protein,ko:K06926,-,COG1106,"AAA domain, putative AbiEii toxin, Type IV TA system",S
1128,RIL182_01138,hypothetical protein,NA,NA,NA,NA,NA
1129,RIL182_01139,Predicted nicotinate-regulated transporter BH3254,ko:K07035,-,COG3641,"Psort location CytoplasmicMembrane, score 9.99",S
1130,RIL182_01140,GTP pyrophosphokinase (EC 2.7.6.5),ko:K07816,2.7.6.5,COG2357,RelA SpoT domain protein,S
1131,RIL182_01141,diguanylate phosphodiesterase,-,-,COG2200,Putative diguanylate phosphodiesterase,T
1132,RIL182_01142,hypothetical protein,-,-,COG3279,response regulator,KT
1133,RIL182_01143,signal transduction histidine kinase regulating citrate/malate metabolism,-,-,COG3290,protein histidine kinase activity,T
1134,RIL182_01144,hypothetical protein,NA,NA,NA,NA,NA
1135,RIL182_01145,LemA protein,ko:K03744,-,COG1704,LemA family,S
1136,RIL182_01146,hypothetical protein,NA,NA,NA,NA,NA
1137,RIL182_01147,ATP-dependent Zn protease,-,-,COG4868,"Psort location Cytoplasmic, score",S
1138,RIL182_01148,Bis-ABC ATPase Uup,ko:K15738,-,COG0488,Abc transporter,S
1139,RIL182_01149,hypothetical protein,NA,NA,NA,NA,NA
1140,RIL182_01150,hypothetical protein,NA,NA,NA,NA,NA
1141,RIL182_01151,hypothetical protein,-,-,COG0642,His Kinase A (phosphoacceptor) domain,T
1142,RIL182_01152,Integral membrane protein,-,-,COG3610,"Psort location CytoplasmicMembrane, score",S
1143,RIL182_01153,Putative membrane-spanning protein,-,-,COG2966,"Psort location CytoplasmicMembrane, score",K
1144,RIL182_01154,hypothetical protein,NA,NA,NA,NA,NA
1145,RIL182_01155,Stage V sporulation protein AA (SpoVAA),ko:K06403,-,28PNE,COG NOG11305 non supervised orthologous group,S
1146,RIL182_01156,Stage V sporulation protein AB (SpoVAB),ko:K06404,-,2AF43,"Psort location CytoplasmicMembrane, score",S
1147,RIL182_01157,hypothetical protein,-,-,2EJW5,Domain of unknown function (DUF3837),S
1148,RIL182_01158,Stage V sporulation protein AC (SpoVAC),ko:K06405,-,2ANER,stage V sporulation protein AC,S
1149,RIL182_01159,hypothetical protein,NA,NA,NA,NA,NA
1150,RIL182_01160,hypothetical protein,NA,NA,NA,NA,NA
1151,RIL182_01161,hypothetical protein,NA,NA,NA,NA,NA
1152,RIL182_01162,Glycerol dehydrogenase (EC 1.1.1.6),ko:K00096,1.1.1.261,COG0371,3-dehydroquinate synthase,C
1153,RIL182_01163,hypothetical protein,NA,NA,NA,NA,NA
1154,RIL182_01164,Hydroxylamine reductase (EC 1.7.99.1),ko:K05601,1.7.99.1,COG0369,Catalyzes the reduction of hydroxylamine to form NH(3) and H(2)O,C
1155,RIL182_01165,Hydrolase (HAD superfamily) in cluster with DUF1447,-,-,COG0561,"Psort location Cytoplasmic, score 8.87",S
1156,RIL182_01166,hypothetical protein,-,-,2E3N2,-,-
1157,RIL182_01167,Pyrrolidone-carboxylate peptidase (EC 3.4.19.3),ko:K01304,3.4.19.3,COG2039,Pyroglutamyl peptidase,O
1158,RIL182_01168,LPXTG-motif cell wall anchor domain,-,-,COG0845,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,M
1159,RIL182_01169,RND efflux system%2C membrane fusion protein,ko:K02005,-,COG0845,"Efflux transporter, RND family, MFP subunit",M
1160,RIL182_01170,hypothetical protein,ko:K02004,-,COG0577,MacB-like periplasmic core domain,V
1161,RIL182_01171,hypothetical protein,NA,NA,NA,NA,NA
1162,RIL182_01172,ABC transporter%2C ATP-binding protein,ko:K02003,-,COG1136,ABC transporter,V
1163,RIL182_01173,hypothetical protein,-,-,COG4912,"Psort location Cytoplasmic, score",L
1164,RIL182_01174,Inositol-1-monophosphatase (EC 3.1.3.25),ko:K01092,3.1.3.25,COG0483,Inositol monophosphatase family,G
1165,RIL182_01175,hypothetical protein,NA,NA,NA,NA,NA
1166,RIL182_01176,hypothetical protein,-,-,COG5464,"Psort location Cytoplasmic, score",S
1167,RIL182_01177,hypothetical protein,-,-,COG5464,"Psort location Cytoplasmic, score",S
1168,RIL182_01178,beta-galactosidase (EC 3.2.1.23),ko:K12308,3.2.1.23,COG1874,beta-galactosidase,G
1169,RIL182_01179,beta-glucosidase (EC 3.2.1.21),ko:K05349,3.2.1.21,COG1472,Glycosyl hydrolase family 3 C-terminal domain,G
1170,RIL182_01180,Two-component system sensor histidine kinase,ko:K07718,2.7.13.3,COG2972,Histidine kinase,T
1171,RIL182_01181,hypothetical protein,ko:K07720,-,COG2207,response regulator receiver,T
1172,RIL182_01182,ABC transporter%2C substrate-binding protein (cluster 1%2C maltose/g3p/polyamine/iron),ko:K17318,-,COG1653,PFAM extracellular solute-binding protein family 1,G
1173,RIL182_01183,ABC transporter%2C permease protein 1 (cluster 1%2C maltose/g3p/polyamine/iron),ko:K17319,-,COG4209,Binding-protein-dependent transport system inner membrane component,G
1174,RIL182_01184,ABC transporter%2C permease protein 2 (cluster 1%2C maltose/g3p/polyamine/iron),ko:K17320,-,COG0395,Binding-protein-dependent transport system inner membrane component,G
1175,RIL182_01185,Oligosaccharide reducing-end xylanase (EC 3.2.1.156),ko:K15531,3.2.1.156,COG3405,family 8,G
1176,RIL182_01186,hypothetical protein,-,-,2DB7A,Glycosyl hydrolase family 115,S
1177,RIL182_01187,hypothetical protein,-,-,COG2755,GDSL-like Lipase/Acylhydrolase family,E
1178,RIL182_01188,Xylan 1%2C4-beta-xylosidase (EC 3.2.1.37) @ alpha-L-arabinofuranosidase (EC 3.2.1.55),"ko:K01198,ko:K01209","3.2.1.37,3.2.1.55",COG3507,Belongs to the glycosyl hydrolase 43 family,G
1179,RIL182_01189,Maltose operon transcriptional repressor MalR%2C LacI family,-,-,COG1609,Periplasmic binding protein LacI transcriptional regulator,K
1180,RIL182_01190,Maltodextrin ABC transporter%2C substrate-binding protein MdxE,ko:K15770,-,COG2182,"ABC transporter, solute-binding protein",G
1181,RIL182_01191,Maltodextrin ABC transporter%2C permease protein MdxF,ko:K15771,-,COG1175,PFAM binding-protein-dependent transport systems inner membrane component,P
1182,RIL182_01192,Maltodextrin ABC transporter%2C permease protein MdxG,ko:K15772,-,COG3833,PFAM binding-protein-dependent transport systems inner membrane component,P
1183,RIL182_01193,hypothetical protein,-,-,2DBG1,-,-
1184,RIL182_01194,hypothetical protein,-,-,2EAM1,-,-
1185,RIL182_01195,Transcriptional regulator%2C AraC family,-,-,COG2207,transcriptional regulator (AraC family),K
1186,RIL182_01196,beta-galactosidase (EC 3.2.1.23),ko:K01190,3.2.1.23,COG3250,beta-galactosidase,G
1187,RIL182_01197,Putative galactosidase,ko:K01224,3.2.1.89,COG3867,arabinogalactan,G
1188,RIL182_01198,Galactokinase (EC 2.7.1.6),ko:K00849,2.7.1.6,COG0153,Catalyzes the transfer of the gamma-phosphate of ATP to D-galactose to form alpha-D-galactose-1-phosphate (Gal-1-P),G
1189,RIL182_01199,Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10),ko:K00965,2.7.7.12,COG4468,UDPglucose--hexose-1-phosphate uridylyltransferase,G
1190,RIL182_01200,Biosynthetic Aromatic amino acid aminotransferase alpha (EC 2.6.1.57) @ Aspartate aminotransferase (EC 2.6.1.1),ko:K11358,2.6.1.1,COG0436,Aminotransferase,E
1191,RIL182_01201,Histidinol-phosphate aminotransferase (EC 2.6.1.9),ko:K00817,2.6.1.9,COG0079,Belongs to the class-II pyridoxal-phosphate-dependent aminotransferase family. Histidinol-phosphate aminotransferase subfamily,E
1192,RIL182_01202,hypothetical protein,ko:K07052,-,COG1266,CAAX amino terminal protease family protein,S
1193,RIL182_01203,His repressor,-,-,COG4496,"protein, YerC YecD",S
1194,RIL182_01204,hypothetical protein,-,-,COG0789,"Psort location Cytoplasmic, score",K
1195,RIL182_01205,ATP-dependent DNA helicase UvrD/PcrA (EC 3.6.4.12),ko:K03657,3.6.4.12,COG0210,DNA helicase,L
1196,RIL182_01206,hypothetical protein,NA,NA,NA,NA,NA
1197,RIL182_01207,RNA methyltransferase%2C TrmA family,ko:K03215,2.1.1.190,COG2265,tRNA (Uracil-5-)-methyltransferase,J
1198,RIL182_01208,hypothetical protein,-,-,2CZEX,-,-
1199,RIL182_01209,ABC transporter-coupled two-component system%2C fused permease protein,ko:K02004,-,COG0577,FtsX-like permease family,V
1200,RIL182_01210,ABC transporter-coupled two-component system%2C ATP-binding protein,ko:K02003,-,COG1136,ABC transporter,V
1201,RIL182_01211,ABC transporter-coupled two-component system%2C signal transduction histidine kinase,-,-,COG0642,His Kinase A (phosphoacceptor) domain,T
1202,RIL182_01212,ABC transporter-coupled two-component system%2C LuxR family response regulator,-,-,COG0745,"Transcriptional regulatory protein, C terminal",T
1203,RIL182_01213,hypothetical protein,-,-,COG1191,"Psort location Cytoplasmic, score",K
1204,RIL182_01214,hypothetical protein,-,-,2DZ5Q,-,-
1205,RIL182_01215,hypothetical protein,-,-,28ICW,-,-
1206,RIL182_01216,Transposase,-,-,COG4467,Transposase IS66 family,S
1207,RIL182_01217,hypothetical protein,NA,NA,NA,NA,NA
1208,RIL182_01218,Transposase%2C IS200 family,ko:K07491,-,COG1943,Transposase IS200 like,L
1209,RIL182_01219,Mobile element protein,ko:K07483,-,COG2963,Transposase,L
1210,RIL182_01220,Mobile element protein,-,-,COG2801,DDE domain,L
1211,RIL182_01221,Mobile element protein,-,-,COG3385,"Psort location Cytoplasmic, score 8.87",L
1212,RIL182_01222,hypothetical protein,NA,NA,NA,NA,NA
1213,RIL182_01223,Transposase,-,-,COG4467,Transposase IS66 family,S
1214,RIL182_01224,Mobile element protein,-,-,COG3385,Transposase DDE domain,L
1215,RIL182_01225,hypothetical protein,-,-,COG0454,Acetyltransferase (GNAT) domain,K
1216,RIL182_01226,hypothetical protein,NA,NA,NA,NA,NA
1217,RIL182_01227,Phosphoglycerate/bisphosphoglycerate mutase,-,-,COG0406,"Psort location Cytoplasmic, score",G
1218,RIL182_01228,Phosphoglycerate/bisphosphoglycerate mutase,-,-,COG0406,"Psort location Cytoplasmic, score",G
1219,RIL182_01229,Sulfate transport system permease protein CysW,ko:K02529,-,COG1609,"Psort location Cytoplasmic, score 9.98",K
1220,RIL182_01230,hypothetical protein,"ko:K02045,ko:K02052",3.6.3.25,COG3842,Part of the ABC transporter complex PotABCD involved in spermidine putrescine import. Responsible for energy coupling to the transport system,P
1221,RIL182_01231,hypothetical protein,ko:K02050,-,COG0600,PFAM binding-protein-dependent transport systems inner membrane component,P
1222,RIL182_01232,Putative membrane-spanning protein,-,-,2C2TA,"Psort location CytoplasmicMembrane, score",S
1223,RIL182_01233,hypothetical protein,ko:K03310,-,COG1115,amino acid carrier protein,E
1224,RIL182_01234,hypothetical protein,-,-,COG5433,"PFAM Transposase, IS4-like",L
1225,RIL182_01235,Domain of unknown function (DUF368) superfamily,ko:K08974,-,COG2035,"Psort location CytoplasmicMembrane, score",S
1226,RIL182_01236,Lipid A export permease/ATP-binding protein MsbA,ko:K06147,-,COG1132,Abc transporter,V
1227,RIL182_01237,Heterodimeric efflux ABC transporter%2C permease/ATP-binding subunit 2,"ko:K06147,ko:K11085",-,COG1132,ABC transporter,V
1228,RIL182_01238,Transcriptional repressor for pyruvate dehydrogenase complex,ko:K05799,-,COG2186,FCD domain,K
1229,RIL182_01239,hypothetical protein,-,-,COG2199,Pfam:Cache_1,T
1230,RIL182_01240,Methyl-accepting chemotaxis sensor/transducer protein,-,-,COG0840,Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).,NT
1231,RIL182_01241,Cardiolipin synthase%2C bacterial type ClsA,ko:K06131,-,COG1502,Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol,I
1232,RIL182_01242,GTP pyrophosphokinase (EC 2.7.6.5),ko:K07816,2.7.6.5,COG2357,Region found in RelA / SpoT proteins,T
1233,RIL182_01243,Serine--pyruvate aminotransferase (EC 2.6.1.51),ko:K00830,"2.6.1.44,2.6.1.45,2.6.1.51",COG0075,Aminotransferase,E
1234,RIL182_01244,Substrate-specific component PdxU2 of predicted pyridoxin-related ECF transporter,-,-,COG4720,"Psort location CytoplasmicMembrane, score",S
1235,RIL182_01245,Cold shock protein of CSP family,ko:K03704,-,COG1278,Cold shock protein,K
1236,RIL182_01246,hypothetical protein,-,-,2C2B5,"Psort location Cytoplasmic, score",S
1237,RIL182_01247,Aspartyl aminopeptidase (EC 3.4.11.21),ko:K01267,3.4.11.21,COG1362,M18 family aminopeptidase,E
1238,RIL182_01248,hypothetical protein,-,-,COG5279,"protein involved in cytokinesis, contains TGc (transglutaminase protease-like) domain",D
1239,RIL182_01249,DegV family protein,-,-,COG1307,"EDD domain protein, DegV family",S
