,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,original_tags
RIL182_00380,560,384,408,446,347,271,688,446,262,"fig|536231.75.peg.393|RIL182_00380   Signal transduction histidine-protein kinase BarA (EC 2.7.13.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00381,745,623,572,1109,867,541,540,716,538,"fig|536231.75.peg.394|RIL182_00381   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00382,21,24,16,35,42,42,3028,81,132,"fig|536231.75.peg.395|RIL182_00382   Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00383,11,18,14,38,62,45,2067,8,183,"fig|536231.75.peg.396|RIL182_00383   Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00384,17,11,23,18,31,22,1900,56,146,"fig|536231.75.peg.397|RIL182_00384   3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00385,4,6,5,19,5,0,654,90,37,"fig|536231.75.peg.398|RIL182_00385   6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00386,21,24,12,33,20,14,163,24,0,"fig|536231.75.peg.399|RIL182_00386   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00387,24,23,20,40,13,31,196,0,66,"fig|536231.75.peg.400|RIL182_00387   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00388,53,52,41,99,38,117,241,61,69,"fig|536231.75.peg.401|RIL182_00388   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00389,0,0,3,7,0,0,1,0,0,"fig|536231.75.peg.402|RIL182_00389   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00390,1768,1250,1221,1237,1393,1336,3615,2384,1326,"fig|536231.75.peg.403|RIL182_00390   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00391,19,11,9,0,3,22,6,10,7,"fig|536231.75.peg.404|RIL182_00391   Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00392,111,87,81,117,67,104,170,54,62,"fig|536231.75.peg.405|RIL182_00392   Molybdopterin adenylyltransferase (EC 2.7.7.75)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00393,44,22,16,31,18,0,43,30,26,"fig|536231.75.peg.406|RIL182_00393   Hypothetical protein Cj1505c   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00394,148,155,140,256,178,282,422,176,219,"fig|536231.75.peg.407|RIL182_00394   Cysteine desulfurase (EC 2.8.1.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00395,187,145,120,270,112,160,143,181,172,"fig|536231.75.peg.408|RIL182_00395   Selenide,water dikinase (EC 2.7.9.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00396,8,1,2,9,0,12,8,0,11,"fig|536231.75.peg.409|RIL182_00396   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00397,134,113,104,73,60,56,207,147,81,"fig|536231.75.peg.410|RIL182_00397   Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00398,142,110,124,308,223,85,388,240,218,"fig|536231.75.peg.411|RIL182_00398   Molybdopterin molybdenumtransferase (EC 2.10.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00399,113,86,101,151,134,168,131,85,44,"fig|536231.75.peg.412|RIL182_00399   GTP 3',8-cyclase (EC 4.1.99.22)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00400,22,24,22,9,12,0,13,83,0,"fig|536231.75.peg.413|RIL182_00400   FIG060329: MOSC domain protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00401,42,31,38,93,7,76,197,57,142,"fig|536231.75.peg.414|RIL182_00401   Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00402,65,31,72,51,48,34,71,99,27,"fig|536231.75.peg.415|RIL182_00402   Molybdenum ABC transporter, substrate-binding protein ModA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00403,76,50,64,83,28,16,87,103,32,"fig|536231.75.peg.416|RIL182_00403   Molybdenum ABC transporter permease protein ModB   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00404,87,62,81,76,31,41,262,68,22,"fig|536231.75.peg.417|RIL182_00404   Molybdenum ABC transporter ATP-binding protein ModC   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00405,62,46,70,108,44,26,87,55,25,"fig|536231.75.peg.418|RIL182_00405   Transcriptional regulator, LysR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00406,231,269,182,300,215,151,395,150,296,"fig|536231.75.peg.419|RIL182_00406   L-serine dehydratase, beta subunit (EC 4.3.1.17)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00407,100,84,73,57,74,30,155,81,41,"fig|536231.75.peg.420|RIL182_00407   L-serine dehydratase, alpha subunit (EC 4.3.1.17)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00409,6,1,1,0,0,0,12,17,0,"fig|536231.75.peg.421|RIL182_00409   Transcriptional regulator, GntR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00410,91,116,91,206,142,125,501,232,128,"fig|536231.75.peg.422|RIL182_00410   ABC transporter, ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00411,38,48,102,135,134,75,1254,101,47,"fig|536231.75.peg.423|RIL182_00411   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00412,403,367,388,791,339,667,5172,498,431,"fig|536231.75.peg.424|RIL182_00412   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00413,3465,2973,2414,1070,1186,1343,989,1000,745,"fig|536231.75.peg.425|RIL182_00413   4-hydroxybutyrate coenzyme A transferase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00414,248,167,194,156,127,59,214,172,131,"fig|536231.75.peg.426|RIL182_00414   Glycosyl transferase, group 2 family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.427   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.427   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.428   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.428   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00415,540,403,395,651,388,311,611,339,355,"fig|536231.75.peg.429|RIL182_00415   23S rRNA (cytosine(1962)-C(5))-methyltransferase (EC 2.1.1.191)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00416,44,22,32,12,49,71,28,18,69,"fig|536231.75.peg.430|RIL182_00416   Nitroreductase family protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.431   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.431   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00417,81,43,43,48,17,23,110,31,11,"fig|536231.75.peg.432|RIL182_00417   Transcriptional regulator, HxlR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00418,410,330,369,417,278,302,960,344,508,"fig|536231.75.peg.433|RIL182_00418   RNA methyltransferase, TrmA family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00419,0,4,5,16,0,0,79,17,0,"fig|536231.75.peg.434|RIL182_00419   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00420,4,2,0,0,16,0,13,23,16,"fig|536231.75.peg.435|RIL182_00420   Chromosome (plasmid) partitioning protein ParA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00421,1,3,3,0,10,29,0,15,0,"fig|536231.75.peg.436|RIL182_00421   Chromosome (plasmid) partitioning protein ParB   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00422,4,3,6,45,24,14,27,58,39,"fig|536231.75.peg.437|RIL182_00422   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00423,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.438|RIL182_00423   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00424,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.439|RIL182_00424   FIG01032024: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00425,0,0,0,6,0,0,0,0,0,"fig|536231.75.peg.440|RIL182_00425   hypothetical membrane associated protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.441   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.441   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00426,1,0,1,19,20,12,0,32,0,"fig|536231.75.peg.442|RIL182_00426   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00427,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.443|RIL182_00427   FIG01031813: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00428,52,42,39,70,62,30,78,92,10,"fig|536231.75.peg.444|RIL182_00428   DNA methylase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00429,40,14,31,6,43,40,244,46,28,"fig|536231.75.peg.445|RIL182_00429   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00430,180,129,89,377,184,188,2026,319,296,"fig|536231.75.peg.446|RIL182_00430   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00431,1,3,0,0,0,0,0,0,0,"fig|536231.75.peg.447|RIL182_00431   TnpY   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00432,0,0,0,0,0,0,1,0,0,"fig|536231.75.peg.448|RIL182_00432   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00434,4.719,4,0,0,0,0,0,0,0,"fig|536231.75.peg.449|RIL182_00434   Relaxosome component   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00435,9.281,2,1,0,0,11,0,0,0,"fig|536231.75.peg.450|RIL182_00435   Relaxase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00436,1,0,1,0,0,0,8,12,0,"fig|536231.75.peg.451|RIL182_00436   FIG01117807: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00437,6,5,6,6,0,0,2,0,13,"fig|536231.75.peg.452|RIL182_00437   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00438,0,0,0,0,0,0,0,0,9,"fig|536231.75.peg.453|RIL182_00438   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00439,1,5,2,0,0,0,3,62,0,"fig|536231.75.peg.454|RIL182_00439   TrsK-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00440,2,0,0,0,0,0,0,0,0,"fig|536231.75.peg.455|RIL182_00440   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00441,0,0,0,0,0,0,7,20,0,"fig|536231.75.peg.456|RIL182_00441   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00442,2,0,0,0,0,0,0,30,0,"fig|536231.75.peg.457|RIL182_00442   FIG00517673: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00443,3,4,7,0,3,18,6,15,0,"fig|536231.75.peg.458|RIL182_00443   FIG01020158: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00444,3,1,0,0,0,0,0,0,0,"fig|536231.75.peg.459|RIL182_00444   FIG01117768: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00445,2,7,4,9,0,0,9,20,21,"fig|536231.75.peg.460|RIL182_00445   NPQTN specific sortase B   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00446,11,10,4,18,0,0,14,65,16,"fig|536231.75.peg.461|RIL182_00446   Invasion associated protein p60   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00447,812,528,428,991,217,159,1202,601,721,"fig|536231.75.peg.462|RIL182_00447   Transcriptional regulator, MerR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00448,0,0,1,0,0,18,0,22,0,"fig|536231.75.peg.463|RIL182_00448   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00449,42,25,23,25,0,0,147,24,12,"fig|536231.75.peg.464|RIL182_00449   ABC transporter-coupled two-component system, LuxR family response regulator   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00450,46,14,26,11,54,37,283,82,44,"fig|536231.75.peg.465|RIL182_00450   ABC transporter-coupled two-component system, signal transduction histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00451,24,18,12,29,17,58,48,24,0,"fig|536231.75.peg.466|RIL182_00451   ABC transporter-coupled two-component system, ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00452,284,230,270,563,239,129,638,188,342,"fig|536231.75.peg.467|RIL182_00452   ABC transporter-coupled two-component system, fused permease protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00453,9,5,21,6,10,34,87,40,26,"fig|536231.75.peg.468|RIL182_00453   Phosphoesterase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00454,0,0,0,0,0,0,4,0,0,"fig|536231.75.peg.469|RIL182_00454   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00455,3,0,0,0,23,0,5,22,0,"fig|536231.75.peg.470|RIL182_00455   Programmed cell death toxin YdcE   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00456,0,0,0,0,0,0,0,0,6,"fig|536231.75.peg.471|RIL182_00456   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00457,7,9,3,13,14,9,103,59,0,"fig|536231.75.peg.472|RIL182_00457   Site-specific recombinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00458,1,5,0,3,0,0,18,0,0,"fig|536231.75.peg.473|RIL182_00458   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00459,0,0,1,0,0,0,0,0,0,"fig|536231.75.peg.474|RIL182_00459   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00460,0,0,0,13,0,0,0,0,0,"fig|536231.75.peg.475|RIL182_00460   Transmembrane component of general energizing module of ECF transporters   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00461,0,0,0,36,45,34,7,79,0,"fig|536231.75.peg.476|RIL182_00461   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00462,6,3,5,0,4,0,4,0,0,"fig|536231.75.peg.477|RIL182_00462   Transposase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00463,0,0,0,6,0,0,0,0,0,"fig|536231.75.peg.478|RIL182_00463   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00464,1,0,0,0,0,25,8,100,4,"fig|536231.75.peg.479|RIL182_00464   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00465,2,5,0,33,8,16,4,20,21,"fig|536231.75.peg.480|RIL182_00465   FIG00523680: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00466,2,0,0,0,0,0,0,10,0,"fig|536231.75.peg.481|RIL182_00466   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00467,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.482|RIL182_00467   SpoVT/AbrB-like   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00468,0,0,0,30,23,0,0,5,11,"fig|536231.75.peg.483|RIL182_00468   FIG01020277: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00469,0,0,0,3,0,0,0,37,0,"fig|536231.75.peg.484|RIL182_00469   LtrC   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00470,0,0,0,35,0,14,0,0,44,"fig|536231.75.peg.485|RIL182_00470   DNA-binding protein SpoVG   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00471,0,0,0,35,53,36.693,0,12,25,"fig|536231.75.peg.486|RIL182_00471   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00472,0,0,0,8,16,27.307,7,13,14,"fig|536231.75.peg.487|RIL182_00472   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00473,3,0,1,23,19,32,12,44.943,14,"fig|536231.75.peg.488|RIL182_00473   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00474,0,0,0,48,111,87,0,9.057,38,"fig|536231.75.peg.489|RIL182_00474   FIG00516869: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00475,0,0,2,23,123,73,7,22,79,"fig|536231.75.peg.490|RIL182_00475   FIG00516548: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00476,3,1,2,88,121,80,1,149,25,"fig|536231.75.peg.491|RIL182_00476   Type II/IV secretion system ATP hydrolase TadA/VirB11/CpaF, TadA subfamily   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00477,3,6,2,64,88,69,0,38,0,"fig|536231.75.peg.492|RIL182_00477   FIG00519491: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00478,5,7,1,99,27,68,15,69,23,"fig|536231.75.peg.493|RIL182_00478   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.494   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,2,0,0,0,0,0,0,"fig|536231.75.peg.494   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00479,1,1,2,2,33,22,0,26,1,"fig|536231.75.peg.495|RIL182_00479   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00480,3,0,0,7,47,9,4,13,12,"fig|536231.75.peg.496|RIL182_00480   FIG01019933: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00481,1,4,0,0,6,0,0,42,0,"fig|536231.75.peg.497|RIL182_00481   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00482,1,3,2,174,138,68,10,37,43,"fig|536231.75.peg.498|RIL182_00482   FIG00524085: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00483,1,0,0,17,8,56,10,0,0,"fig|536231.75.peg.499|RIL182_00483   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00484,0,0,0,5,15,10,0,28,33,"fig|536231.75.peg.500|RIL182_00484   FIG00513382: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00485,0,0,0,28,8,36,0,86,20,"fig|536231.75.peg.501|RIL182_00485   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00486,3,2,4,78,23,66,7,93,11,"fig|536231.75.peg.502|RIL182_00486   DNA-cytosine methyltransferase (EC 2.1.1.37)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00487,0,0,0,4,0,0,0,0,0,"fig|536231.75.peg.503|RIL182_00487   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00488,0,0,0,6,12,26,4,35,0,"fig|536231.75.peg.504|RIL182_00488   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00489,2,3,0,50,32,44,0,48,41,"fig|536231.75.peg.505|RIL182_00489   TraE-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00490,1,0,5,18,46,19,10,0,0,"fig|536231.75.peg.506|RIL182_00490   FIG00514048: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00491,0,0,0,2,21,13,0,0,13,"fig|536231.75.peg.507|RIL182_00491   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00492,0,0,0,27,8,46,4,39,0,"fig|536231.75.peg.508|RIL182_00492   FIG00516862: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00493,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.509|RIL182_00493   FIG01019951: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00494,0,0,0,15,19,0,0,19,0,"fig|536231.75.peg.510|RIL182_00494   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00495,0,0,0,0,0,6,0,0,0,"fig|536231.75.peg.511|RIL182_00495   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00496,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.512|RIL182_00496   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00497,0,0,0,2,0,0,0,6,0,"fig|536231.75.peg.513|RIL182_00497   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00498,3,0,0,17,11,19,0,11,5,"fig|536231.75.peg.514|RIL182_00498   DNA methyltransferase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00499,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.515|RIL182_00499   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00500,3,2,7,106,53,52,4,44,108,"fig|536231.75.peg.516|RIL182_00500   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00501,22,22,21,3,8,29,89.57,0,0,"fig|536231.75.peg.517|RIL182_00501   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00502,817,623,548,670,198,253,3282.419,566,338,"fig|536231.75.peg.518|RIL182_00502   PIN domain protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00503,132,104,137,289,160,125,294.011,157,101,"fig|536231.75.peg.519|RIL182_00503   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00504,695.57,503,755,692.911,470.256,281,3297.777,542.769,582,"fig|536231.75.peg.520|RIL182_00504   Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00505,16,6,10,5,0,15,33,0,0,"fig|536231.75.peg.521|RIL182_00505   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00506,103,72,114,44,85,66,111,75,113,"fig|536231.75.peg.522|RIL182_00506   FIG00515486: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00507,0,7,2,0,0,0,27,0,0,"fig|536231.75.peg.523|RIL182_00507   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00508,6,10,1,18,39,0,3,26,15,"fig|536231.75.peg.524|RIL182_00508   FIG00518470: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00509,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.525|RIL182_00509   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00510,275,289,314,991,466,290,773,260,456,"fig|536231.75.peg.526|RIL182_00510   transcriptional regulator, LytR/AlgR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00511,452,346,504,1040,692,679,1028,565,620,"fig|536231.75.peg.527|RIL182_00511   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00513,1759,991,1363,1980,949,876,3871,922,1204,"fig|536231.75.peg.528|RIL182_00513   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00514,445,250,427,1274,505,389,6838,716,756,"fig|536231.75.peg.529|RIL182_00514   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.530   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",1,0,4,0,0,0,30,0,0,"fig|536231.75.peg.530   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.531   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",116.456,56.999,114.217,393.155,209,103,706.622,145,216,"fig|536231.75.peg.531   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00515,1265.544,746.001,1061.783,2265.845,1345,1089,19957.378,2288,1868,"fig|536231.75.peg.532|RIL182_00515   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00516,665.451,406.908,719.694,1519.333,572,794,5786.307,651.769,654,"fig|536231.75.peg.533|RIL182_00516   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00517,1189.549,918.092,1417.306,1504.667,1712,1338,2276.693,893.231,824,"fig|536231.75.peg.534|RIL182_00517   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.535   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",2,1,1,1,0,0,0,0,0,"fig|536231.75.peg.535   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00518,1859,1355,2210,2294,2234,2100,3484,755,1173,"fig|536231.75.peg.536|RIL182_00518   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00519,1737,1211,1929,2492,1823,1303,3594,1015,1398,"fig|536231.75.peg.537|RIL182_00519   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00520,395,252,422,806,390,471,1643,316,525,"fig|536231.75.peg.538|RIL182_00520   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00521,143.033,82,150,159.087,122,24,274.227,42,51,"fig|536231.75.peg.539|RIL182_00521   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.540   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",2,0,2,12,4,3,0,0,0,"fig|536231.75.peg.540   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00522,193.595,112,217.66,294.913,319,169,1299.741,190,220,"fig|536231.75.peg.541|RIL182_00522   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00523,541.372,436,656.34,892,568,559,2271.22,585,463,"fig|536231.75.peg.542|RIL182_00523   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.543   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",24,36,59,105,23,19,445.811,29,57,"fig|536231.75.peg.543   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00524,31,3,23,27,0,0,22,27,6,"fig|536231.75.peg.544|RIL182_00524   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00525,87,82,110,210,44,19,318,148,196,"fig|536231.75.peg.545|RIL182_00525   Response regulator   [Roseburia intestinalis L1-82 | 536231.75]
"
