,gene_id,description,ko,EC_number,cogs,cogs_description
906,BT_0892,dihydroorotate dehydrogenase,K17828,1.3.1.14,COG0167,Nucleotide transport and metabolism
907,BT_0893,tRNA (Guanine-N(1)-methyltransferase,K00554,2.1.1.228,COG0336,"Translation, ribosomal structure and biogenesis"
908,BT_0894,DNA ligase,K01972,6.5.1.2,COG0272,"Replication, recombination and repair"
909,BT_0895,dihydrodipicolinate synthase,K01714,4.3.3.7,COG0329,Cell wall/membrane/envelope biogenesis
910,BT_t14,tRNA-Arg,K14219,NA,NA,NA
911,BT_t15,tRNA-Arg,K14219,NA,NA,NA
912,BT_t16,tRNA-Arg,K14219,NA,NA,NA
913,BT_0896,putative patatin-like phospholipase,K07001,NA,COG4775,Cell wall/membrane/envelope biogenesis
914,BT_0897,chaperone protein htpG (heat shock protein htpG),K04079,NA,COG0326,"Posttranslational modification, protein turnover, chaperones"
915,BT_0898,ATP-dependent Clp protease,K03696,NA,COG0542,"Posttranslational modification, protein turnover, chaperones"
916,BT_0899,DNA gyrase subunit A,K02469,5.6.2.2,COG0188,"Replication, recombination and repair"
917,BT_0900,putative tetratricopeptide repeat family protein,NA,NA,COG4783,Cell wall/membrane/envelope biogenesis
918,BT_0901,putative universal stress protein UspA,NA,NA,COG0589,Signal transduction mechanisms
919,BT_0902,conserved hypothetical protein,NA,NA,NA,NA
920,BT_0903,BatE%2C TRP domain containing protein,NA,NA,NA,NA
921,BT_0904,BatD%2C conserved hypothetical protein,NA,NA,NA,NA
922,BT_0905,BatC%2C conserved hypothetical protein,NA,NA,COG0457,General function prediction only
923,BT_0906,BatB%2C conserved hypothetical protein,K07114,NA,COG1240,Coenzyme transport and metabolism
924,BT_0907,BatA,K07114,NA,COG1240,Coenzyme transport and metabolism
925,BT_0908,putative conserved membrane exported protein,NA,NA,NA,NA
926,BT_0909,von Willebrand factor-like%2C type A,NA,NA,COG1721,Function unknown
927,BT_0910,magnesium chelatase%2C subunit I,K03924,NA,COG0714,General function prediction only
928,BT_0911,putative integration host factor IHF alpha subunit,NA,NA,COG1652,Inorganic ion transport and metabolism
929,BT_0912,DNA-binding protein HU,K03530,NA,COG0776,"Replication, recombination and repair"
930,BT_0913,putative Fe-S oxidoreductase,K14441,2.8.4.4,COG0621,"Translation, ribosomal structure and biogenesis"
931,BT_0914,recognition particle-docking protein FtsY,K03110,NA,COG0552,"Intracellular trafficking, secretion, and vesicular transport"
932,BT_0914a,Hypothetical protein,NA,NA,NA,NA
933,BT_0915,50S ribosomal protein L33,K02913,NA,COG0267,"Translation, ribosomal structure and biogenesis"
934,BT_0916,50S ribosomal protein L28,K02902,NA,COG0227,"Translation, ribosomal structure and biogenesis"
935,BT_0917,competence-damage inducible protein,K03742,3.5.1.42,COG1546,Coenzyme transport and metabolism
936,BT_0918,integrase,NA,NA,COG2801,"Mobilome: prophages, transposons"
937,BT_0919,hypothetical protein,NA,NA,NA,NA
938,BT_0920,putative O-sialoglycoprotein endopeptidase,K25706,2.3.1.234,COG0533,"Translation, ribosomal structure and biogenesis"
939,BT_0921,conserved hypothetical protein,NA,NA,COG2911,Cell wall/membrane/envelope biogenesis
940,BT_0922,putative lipoprotein,NA,NA,NA,NA
941,BT_0923,putative periplasmic protein,NA,NA,NA,NA
942,BT_0924,S-layer domain containing protein,NA,NA,COG1470,Function unknown
943,BT_0925,ABC transporter%2C ATP-binding protein,K01990,NA,COG1131,Defense mechanisms
944,BT_0926,ABC-type transport%2C permease protein,K01992,NA,COG1277,"Posttranslational modification, protein turnover, chaperones"
945,BT_0927,two-component system sensor histidine kinase,NA,NA,COG0642,Signal transduction mechanisms
946,BT_0928,two-component system response regulator,NA,NA,COG0745,Transcription
947,BT_0929,prolyl-tRNA synthetase,K01881,6.1.1.15,COG0442,"Translation, ribosomal structure and biogenesis"
948,BT_t17,tRNA-OTHER,NA,NA,NA,NA
949,BT_0930,hypothetical protein,NA,NA,NA,NA
950,BT_0931,hypothetical protein,NA,NA,NA,NA
951,BT_0932,hypothetical protein,NA,NA,NA,NA
952,BT_0933,hypothetical protein,NA,NA,NA,NA
953,BT_0934,hypothetical protein,NA,NA,NA,NA
954,BT_0935,hypothetical protein,NA,NA,NA,NA
955,BT_0936,hypothetical protein,NA,NA,NA,NA
956,BT_0937,hypothetical protein,NA,NA,NA,NA
957,BT_0938,hypothetical protein,NA,NA,NA,NA
958,BT_0939,hypothetical protein,NA,NA,NA,NA
959,BT_0940,hypothetical protein,NA,NA,NA,NA
960,BT_0941,hypothetical protein,NA,NA,NA,NA
961,BT_0942,putative dinitrogenase reductase activating glycohydrolase,NA,NA,COG1397,"Posttranslational modification, protein turnover, chaperones"
962,BT_0943,penicillin-binding protein 2B (PBP-2B),K03587,3.4.16.4,COG0768,"Cell cycle control, cell division, chromosome partitioning"
963,BT_0944,hypothetical protein,NA,NA,NA,NA
964,BT_0945,hypothetical protein,NA,NA,NA,NA
965,BT_0946,hypothetical protein,NA,NA,NA,NA
966,BT_0947,integrase,NA,NA,COG4974,"Replication, recombination and repair"
967,BT_0948,conserved hypothetical protein,NA,NA,NA,NA
968,BT_0949,hypothetical protein,NA,NA,NA,NA
969,BT_0950,conserved hypothetical protein,NA,NA,NA,NA
970,BT_0951,hypothetical protein,NA,NA,NA,NA
971,BT_0952,hypothetical protein,NA,NA,NA,NA
972,BT_0953,integrase,NA,NA,COG4974,"Replication, recombination and repair"
973,BT_t18,tRNA-Gly,K14225,NA,NA,NA
974,BT_0954,putative outer membrane protein,NA,NA,COG1538,Cell wall/membrane/envelope biogenesis
975,BT_0955,conserved hypothetical protein%2C putative membrane protein,K01993,NA,COG1566,Defense mechanisms
976,BT_0956,conserved hypothetical protein%2C putative transmembrane protein,K01992,NA,COG1511,Function unknown
977,BT_0957,putative transport-related membrane protein,K01992,NA,NA,NA
978,BT_0958,two-component system sensor histidine kinase/response regulator%2C hybrid (one component system),NA,NA,COG5002,Signal transduction mechanisms
979,BT_0959,putative transmembrane protein,NA,NA,NA,NA
980,BT_0960,putative TonB-dependent outer membrane receptor,K02014,NA,COG4206,Coenzyme transport and metabolism
981,BT_0961,putative TonB-dependent outer membrane receptor,NA,NA,NA,NA
982,BT_0962,aldo/keto reductase,K07079,NA,COG1453,General function prediction only
983,BT_0963,putative ferredoxin-type protein,NA,NA,COG1143,Energy production and conversion
984,BT_0964,putative outer membrane protein%2C probably involved in nutrient binding,NA,NA,NA,NA
985,BT_0965,putative anti-sigma factor,NA,NA,COG3712,Signal transduction mechanisms
986,BT_0966,RNA polymerase ECF-type sigma factor,K03088,NA,COG1595,Transcription
987,BT_0967,hypothetical protein,NA,NA,NA,NA
988,BT_0968,conserved hypothetical protein,NA,NA,NA,NA
989,BT_0969,hypothetical protein,NA,NA,NA,NA
990,BT_0970,haloacid dehalogenase-like hydrolase,K21063,3.1.3.104,COG1011,Coenzyme transport and metabolism
991,BT_0971,conserved hypothetical protein,NA,NA,NA,NA
992,BT_0972,putative oxidoreductase,NA,NA,COG0300,General function prediction only
993,BT_0973,conserved hypothetical protein,NA,NA,NA,NA
994,BT_0974,conserved hypothetical protein%2C putative integral membrane protein,NA,NA,COG3610,Function unknown
995,BT_0975,conserved hypothetical protein%2C putative integral membrane protein,NA,NA,COG2966,Function unknown
996,BT_0976,putative transport protein,NA,NA,NA,NA
997,BT_0977,hypothetical protein,NA,NA,NA,NA
998,BT_0978,ECF-type sigma factor,NA,NA,COG1595,Transcription
999,BT_0979,Pectin lyase fold/virulence factor,NA,NA,NA,NA
1000,BT_0980,putative pectate lyase,NA,NA,NA,NA
1001,BT_0981,two-component system sensor histidine kinase/response regulator%2C hybrid (one component system),NA,NA,COG3292,Signal transduction mechanisms
1002,BT_0982,hypothetical protein,NA,NA,NA,NA
1003,BT_0983,beta-galactosidase,K01190,3.2.1.23,COG3250,Carbohydrate transport and metabolism
1004,BT_0984,conserved hypothetical protein,NA,NA,NA,NA
1005,BT_0985,putative sialic acid-specific acetylesterase II,K05970,3.1.1.53,NA,NA
1006,BT_0986,Glycoside hydrolase family 2%2C sugar binding protein,K25010,3.1.1.117,NA,NA
1007,BT_0987,putative cytochrome C-type biogenesis protein,NA,NA,COG0526,"Posttranslational modification, protein turnover, chaperones"
1008,BT_0988,Mg2+ transport ATPase protein B,K01531,7.2.2.14,COG0474,Inorganic ion transport and metabolism
1009,BT_0989,two-component system sensor histidine kinase,NA,NA,COG5002,Signal transduction mechanisms
1010,BT_0990,two-component system response regulator,NA,NA,COG0745,Transcription
1011,BT_0991,putative transporter,K09964,NA,COG3602,Signal transduction mechanisms
1012,BT_0992,beta-galactosidase,NA,NA,COG3250,Carbohydrate transport and metabolism
1013,BT_0993,beta-galactosidase,K01190,3.2.1.23,COG3250,Carbohydrate transport and metabolism
1014,BT_0994,two-component system histidine kinase,NA,NA,COG2205,Signal transduction mechanisms
1015,BT_0995,transcription regulator%2C AraC-type,NA,NA,COG2207,Transcription
1016,BT_0996,beta-galactosidase,NA,NA,COG3250,Carbohydrate transport and metabolism
1017,BT_0997,conserved hypothetical protein,NA,NA,NA,NA
1018,BT_0998,two-component system sensor histidine kinase,NA,NA,COG2205,Signal transduction mechanisms
1019,BT_0999,putative acetyltransferase,NA,NA,COG1670,"Translation, ribosomal structure and biogenesis"
1020,BT_1000,probable ABC transporter permease,NA,NA,COG0577,Defense mechanisms
1021,BT_1001,putative alpha-rhamnosidase,NA,NA,COG3408,Carbohydrate transport and metabolism
1022,BT_1002,Pectin lyase fold/virulence factor,NA,NA,NA,NA
1023,BT_1003,Six-hairpin glycosidase,K09955,NA,COG3533,Carbohydrate transport and metabolism
1024,BT_1004,Claudin tight junction protein,NA,NA,COG4422,"Mobilome: prophages, transposons"
1025,BT_1005,hypothetical protein,NA,NA,NA,NA
1026,BT_1006,putative nitroreductase,NA,NA,COG0778,Energy production and conversion
1027,BT_1007,putative lipoprotein,NA,NA,NA,NA
1028,BT_1008,xylanase,NA,NA,COG0657,Lipid transport and metabolism
1029,BT_1009,dihydroorotate dehydrogenase,K00254,1.3.5.2,COG0167,Nucleotide transport and metabolism
1030,BT_1010,glycoside hydrolase family 95,K15923,3.2.1.51,NA,NA
1031,BT_1011,glycoside hydrolase family 15,K15532,3.2.1.172,COG4225,Carbohydrate transport and metabolism
1032,BT_1012,conserved hypothetical protein,NA,NA,NA,NA
1033,BT_1013,putative alpha-rhamnosidase,K05989,3.2.1.40,COG4692,Cell wall/membrane/envelope biogenesis
1034,BT_1014,hypothetical protein,NA,NA,NA,NA
1035,BT_1015,putative oxidoreductase,NA,NA,COG1028,Lipid transport and metabolism
1036,BT_1016,conserved protein with a conserved patatin-like phospholipase domain,K07001,NA,COG1752,General function prediction only
1037,BT_1017,conserved hypothetical protein,NA,NA,NA,NA
1038,BT_1018,polygalacturonase (Pectinase),NA,NA,COG5434,Carbohydrate transport and metabolism
1039,BT_1019,glycoside hydrolase family 78,NA,NA,NA,NA
1040,BT_1020,Six-hairpin glycosidase,NA,NA,COG3408,Carbohydrate transport and metabolism
1041,BT_1021,arabinosidase,NA,NA,NA,NA
1042,BT_1022,conserved hypothetical protein,NA,NA,NA,NA
1043,BT_1023,putative pectate lyase,NA,NA,NA,NA
1044,BT_1024,SusD homolog,K21572,NA,NA,NA
1045,BT_1025,SusC homolog,NA,NA,NA,NA
1046,BT_1026,hypothetical protein,NA,NA,NA,NA
1047,BT_1027,hypothetical protein,NA,NA,NA,NA
1048,BT_1028,SusD homolog,NA,NA,NA,NA
1049,BT_1029,SusC homolog,NA,NA,COG4771,Inorganic ion transport and metabolism
1050,BT_1030,Fibronectin%2C type III-like fold,NA,NA,NA,NA
1051,BT_1031,Xylose isomerase-like TIM barrel,NA,NA,COG1082,Carbohydrate transport and metabolism
1052,BT_1032,alpha-1%2C2-mannosidase family protein,NA,NA,COG3537,Carbohydrate transport and metabolism
1053,BT_1033,Glycosidase%2C PH117-related,K18785,2.4.1.320,COG2152,Carbohydrate transport and metabolism
1054,BT_1034,putative signal transducer,K08218,NA,NA,NA
1055,BT_1035,Coagulation factor 5/8 type%2C C-terminal,NA,NA,NA,NA
1056,BT_1036,Coagulation factor 5/8 type%2C C-terminal,NA,NA,NA,NA
1057,BT_1037,Concanavalin A-like lectin/glucanase,NA,NA,NA,NA
1058,BT_1038,putative secreted endoglycosidase,NA,NA,NA,NA
1059,BT_1039,SusD homolog,NA,NA,NA,NA
1060,BT_1040,SusC homolog,NA,NA,COG4771,Inorganic ion transport and metabolism
1061,BT_1041,integrase,NA,NA,COG4974,"Replication, recombination and repair"
1062,BT_1042,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
1063,BT_1043,SusD homolog,NA,NA,NA,NA
1064,BT_1044,putative secreted endoglycosidase%2C GH family 18,NA,NA,NA,NA
1065,BT_1045,Concanavalin A-like lectin/glucanase,NA,NA,NA,NA
1066,BT_1046,SusC homolog,NA,NA,COG4771,Inorganic ion transport and metabolism
1067,BT_1047,SusD homolog,NA,NA,NA,NA
1068,BT_1048,putative secreted endoglycosidase,NA,NA,NA,NA
1069,BT_1049,putative patatin-like protein,NA,NA,NA,NA
1070,BT_1050,Coagulation factor 5/8 type%2C C-terminal,NA,NA,NA,NA
1071,BT_1051,beta-hexosaminidase precursor,K12373,3.2.1.52,COG3525,Carbohydrate transport and metabolism
1072,BT_1052,putative anti-sigma factor,NA,NA,COG3712,Signal transduction mechanisms
1073,BT_1053,RNA polymerase ECF-type sigma factor,K03088,NA,COG1595,Transcription
1074,BT_1054,ATP-dependent helicase,NA,NA,COG1074,"Replication, recombination and repair"
1075,BT_1055,pyruvate formate-lyase activating enzyme,K04069,1.97.1.4,COG1180,"Posttranslational modification, protein turnover, chaperones"
1076,BT_1056,TonB-like protein,NA,NA,COG0810,Cell wall/membrane/envelope biogenesis
1077,BT_1057,putative exonuclease,NA,NA,COG3893,"Replication, recombination and repair"
1078,BT_1058,two-component system sensor histidine kinase,K11527,2.7.13.3,COG3706,Transcription
1079,BT_1059,putative UDP-glucose 4-epimerase,K08678,4.1.1.35,COG0451,Cell wall/membrane/envelope biogenesis
1080,BT_1060,conserved hypothetical protein,NA,NA,NA,NA
1081,BT_1061,Lambda repressor-like%2C DNA-binding protein,NA,NA,NA,NA
1082,BT_1062,putative lipoprotein,NA,NA,NA,NA
1083,BT_1063,putative lipoprotein,NA,NA,NA,NA
1084,BT_1064,Rhodopsin-like GPCR superfamily,NA,NA,COG2885,Cell wall/membrane/envelope biogenesis
1085,BT_1065,hypothetical protein,NA,NA,NA,NA
1086,BT_1066,conserved hypothetical protein,NA,NA,NA,NA
1087,BT_1067,conserved hypothetical protein,NA,NA,NA,NA
1088,BT_1068,hypothetical protein,NA,NA,NA,NA
1089,BT_1069,conserved hypothetical protein%2C putative transcriptional regulator,NA,NA,COG1475,"Cell cycle control, cell division, chromosome partitioning"
1090,BT_1070,Predicted phosphoadenosine phosphosulfate reductase,NA,NA,COG3969,General function prediction only
1091,BT_1071,conserved hypothetical protein,NA,NA,NA,NA
1092,BT_1072,conserved hypothetical protein,NA,NA,NA,NA
1093,BT_1073,conserved hypothetical protein,NA,NA,NA,NA
1094,BT_1074,conserved hypothetical protein,NA,NA,NA,NA
1095,BT_1075,putative two-component system sensor protein%2C but no histidine kinase domain,NA,NA,COG3275,Signal transduction mechanisms
1096,BT_1076,two-component system response regulator,NA,NA,COG3279,Transcription
1097,BT_t19,tRNA-Asp,K14221,NA,NA,NA
1098,BT_1077,putative aspartate aminotransferase,NA,NA,COG0436,Amino acid transport and metabolism
1099,BT_1078,putative transcriptional regulator,K07735,NA,COG1678,Transcription
1100,BT_1079,acetyltransferase,K00657,2.3.1.57,COG1670,"Translation, ribosomal structure and biogenesis"
1101,BT_1080,putative transmembrane protein,NA,NA,NA,NA
1102,BT_1081,recombination protein recR,K06187,NA,COG0353,"Replication, recombination and repair"
1103,BT_1082,Na+/solute symporter,NA,NA,COG0591,Amino acid transport and metabolism
1104,BT_1083,putative GTP-binding protein,K03978,NA,COG0218,"Cell cycle control, cell division, chromosome partitioning"
1105,BT_1084,conserved hypothetical protein,NA,NA,NA,NA
1106,BT_1085,putative lipoprotein,NA,NA,NA,NA
1107,BT_1086,putative oligopeptide transporter,NA,NA,COG1297,General function prediction only
1108,BT_1087,putative xylanase,NA,NA,COG0657,Lipid transport and metabolism
1109,BT_1088,conserved hypothetical protein,NA,NA,NA,NA
1110,BT_1089,lipoate-protein ligase B,K03801,2.3.1.181,COG0321,Coenzyme transport and metabolism
1111,BT_1090,AraC-type transcription regulator,NA,NA,COG2207,Transcription
1112,BT_1091,cation-transporting ATPase pacS,K01533,7.2.2.9,COG2217,Inorganic ion transport and metabolism
1113,BT_1092,putative heavy-metal binding protein,K08364,NA,COG2608,Inorganic ion transport and metabolism
1114,BT_1093,conserved hypothetical protein%2C putative TonB-dependent outer membrane receptor protein,NA,NA,COG1629,Inorganic ion transport and metabolism
1115,BT_1094,hypothetical protein,NA,NA,NA,NA
1116,BT_1095,Putative DNA binding protein,NA,NA,NA,NA
1117,BT_1096,transposase,NA,NA,NA,NA
1118,BT_1097,hypothetical protein,NA,NA,NA,NA
1119,BT_1098,methylglyoxal synthase,K01734,4.2.3.3,COG1803,Carbohydrate transport and metabolism
1120,BT_1099,putative arginase,NA,NA,COG0010,Amino acid transport and metabolism
1121,BT_1100,alpha-glucan phosphorylase,K00688,2.4.1.1,COG0058,Carbohydrate transport and metabolism
1122,BT_1101,putative sodium/proton antiporter,K03455,NA,COG0569,Signal transduction mechanisms
1123,BT_1102,6-phosphofructokinase,K00850,2.7.1.11,COG0205,Carbohydrate transport and metabolism
1124,BT_1103,RNA polymerase ECF-type sigma factor,K03088,NA,COG1595,Transcription
1125,BT_1104,small heat shock protein,K13993,NA,COG0071,"Posttranslational modification, protein turnover, chaperones"
1126,BT_1105,phosphoglycerate mutase 1,K01834,5.4.2.11,COG0588,Carbohydrate transport and metabolism
1127,BT_1106,fructose-bisphosphate aldolase class I,K11645,4.1.2.13,COG1830,Carbohydrate transport and metabolism
1128,BT_1107,ferritin A,K02217,1.16.3.2,COG1528,Inorganic ion transport and metabolism
1129,BT_1108,conserved hypothetical protein%2C putative integral membrane protein,K05595,NA,COG2095,Amino acid transport and metabolism
1130,BT_1109,ferritin A,K02217,1.16.3.2,COG1528,Inorganic ion transport and metabolism
1131,BT_1110,hypothetical protein,NA,NA,NA,NA
1132,BT_1111,hypothetical protein,NA,NA,NA,NA
1133,BT_1112,transposase,NA,NA,NA,NA
1134,BT_1113,flavodoxin,NA,NA,NA,NA
1135,BT_1114,putative exporter protein,NA,NA,NA,NA
1136,BT_1115,aldo/keto reductase,NA,NA,COG0667,Coenzyme transport and metabolism
1137,BT_1116,conserved hypothetical protein,K06934,NA,COG1661,General function prediction only
1138,BT_1117,conserved hypothetical protein%2C with a cAMP-binding domain,NA,NA,COG0664,Signal transduction mechanisms
1139,BT_1118,SusD homolog,K21572,NA,NA,NA
1140,BT_1119,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
1141,BT_1120,hypothetical protein,NA,NA,NA,NA
1142,BT_1121,conserved hypothetical protein%2C with a carboxymuconolactone decarboxylase domain,K06889,NA,COG1073,Signal transduction mechanisms
1143,BT_1122,conserved hypothetical protein,NA,NA,COG2706,Carbohydrate transport and metabolism
1144,BT_1123,transcriptional regulator,NA,NA,COG2207,Transcription
1145,BT_1124,putative integrase,NA,NA,NA,NA
1146,BT_1125,hypothetical protein,NA,NA,NA,NA
1147,BT_1126,mobilization protein BmgA,NA,NA,NA,NA
1148,BT_1127,mobilization protein BmgB,NA,NA,NA,NA
1149,BT_1128,hypothetical protein,NA,NA,NA,NA
1150,BT_1129,Putative DNA binding protein,NA,NA,NA,NA
1151,BT_1130,Putative DNA binding protein,NA,NA,NA,NA
1152,BT_1131,hypothetical protein,NA,NA,NA,NA
1153,BT_1132,hypothetical protein,NA,NA,NA,NA
1154,BT_1133,hypothetical protein,NA,NA,NA,NA
1155,BT_1134,hypothetical protein,NA,NA,NA,NA
1156,BT_1135,conserved hypothetical protein,NA,NA,NA,NA
1157,BT_1136,hypothetical protein,NA,NA,NA,NA
1158,BT_1137,hypothetical protein,NA,NA,NA,NA
1159,BT_1138,transposase,NA,NA,COG4974,"Replication, recombination and repair"
1160,BT_1139,putative TonB-dependent outer membrane receptor,NA,NA,COG4206,Coenzyme transport and metabolism
1161,BT_1140,conserved hypothetical protein,NA,NA,NA,NA
1162,BT_1141,cation efflux family protein,NA,NA,COG0053,Inorganic ion transport and metabolism
1163,BT_1142,Concanavalin A-like lectin/glucanase,NA,NA,NA,NA
1164,BT_1143,conserved hypothetical protein,NA,NA,NA,NA
1165,BT_1144,conserved hypothetical protein,NA,NA,NA,NA
1166,BT_1145,glucose-inhibited division protein,K03501,2.1.1.170,COG0357,"Translation, ribosomal structure and biogenesis"
1167,BT_1146,putative metallo-beta-lactamase,K01069,3.1.2.6,COG0491,General function prediction only
1168,BT_1147,glycine dehydrogenase%2C decarboxylating,K00281,1.4.4.2,COG1003,Amino acid transport and metabolism
1169,BT_1148,putative NADH dehydrogenase/NAD(P)H nitroreductase,NA,NA,COG0778,Energy production and conversion
1170,BT_1149,Type II restriction enzyme HpaII,NA,NA,NA,NA
1171,BT_1150,DNA polymerase III-like%2C beta chain,NA,NA,COG1739,General function prediction only
1172,BT_1151,conserved hypothetical protein,NA,NA,COG4198,Function unknown
1173,BT_1152,D-3-phosphoglycerate dehydrogenase,K00058,1.1.1.399,COG0111,Coenzyme transport and metabolism
1174,BT_1153,phosphoserine aminotransferase,K00831,2.6.1.52,COG1932,Amino acid transport and metabolism
1175,BT_1154,ATP-independent RNA helicase,NA,NA,COG0513,"Replication, recombination and repair"
1176,BT_1155,Na+-translocating NADH-quinone reductase subunit,K00351,7.2.1.1,COG2871,Energy production and conversion
1177,BT_1156,Na+-translocating NADH-quinone reductase subunit,K00350,7.2.1.1,COG2209,Energy production and conversion
1178,BT_1157,Na+-translocating NADH-quinone reductase subunit,K00349,7.2.1.1,COG1347,Energy production and conversion
1179,BT_1158,Na+-translocating NADH-quinone reductase subunit,K00348,7.2.1.1,COG2869,Energy production and conversion
1180,BT_1159,Na+-translocating NADH-quinone reductase subunit,K00347,7.2.1.1,COG1805,Energy production and conversion
1181,BT_1160,Na+-translocating NADH-quinone reductase subunit,K00346,7.2.1.1,COG1726,Energy production and conversion
1182,BT_1161,putative aminopeptidase C,K01372,3.4.22.40,COG3579,Amino acid transport and metabolism
1183,BT_1162,putative outer membrane protein,NA,NA,COG4775,Cell wall/membrane/envelope biogenesis
1184,BT_1163,putative outer membrane protein,NA,NA,COG1538,Cell wall/membrane/envelope biogenesis
1185,BT_1164,putative transmembrane protein,K16554,2.7.10.3,COG3206,Cell wall/membrane/envelope biogenesis
1186,BT_1165,putative transmembrane surface-related protein,NA,NA,NA,NA
1187,BT_1166,glycoside transferase family 2,NA,NA,COG1216,Carbohydrate transport and metabolism
1188,BT_1167,glycoside transferase family 2,NA,NA,COG1215,Cell motility
1189,BT_1168,N-acetylmuramoyl-L-alanine amidase,NA,NA,COG3023,Cell wall/membrane/envelope biogenesis
1190,BT_1169,hypothetical protein,NA,NA,NA,NA
1191,BT_1170,hypothetical protein,NA,NA,NA,NA
1192,BT_1171,glyoxalase family-like protein,NA,NA,COG0346,"Secondary metabolites biosynthesis, transport and catabolism"
1193,BT_1172,DNA primase/helicase,K17680,5.6.2.3,COG0305,"Replication, recombination and repair"
1194,BT_1173,hypothetical protein,NA,NA,NA,NA
1195,BT_1174,hypothetical protein,NA,NA,NA,NA
1196,BT_1175,conserved hypothetical protein,NA,NA,NA,NA
1197,BT_1176,glycoside transferase family 2,NA,NA,COG0463,Cell wall/membrane/envelope biogenesis
1198,BT_1177,putative polysaccharide biosynthesis protein,K03328,NA,COG2244,Cell wall/membrane/envelope biogenesis
1199,BT_1178,glycosyl transferase%2C group 1,NA,NA,NA,NA
1200,BT_1179,glycosyltransferase%2C family 8,NA,NA,NA,NA
1201,BT_1180,glycoside transferase family 4,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
1202,BT_1181,glycoside transferase family 2,NA,NA,COG1215,Cell motility
1203,BT_1182,conserved hypothetical protein,NA,NA,NA,NA
1204,BT_1183,two-component system sensor histidine kinase/response regulator%2C hybrid (one component system),NA,NA,COG2202,Signal transduction mechanisms
1205,BT_1184,putative transmembrane endonuclease/exonuclease,NA,NA,COG3568,General function prediction only
1206,BT_1185,OmpA-related protein,NA,NA,COG1629,Inorganic ion transport and metabolism
1207,BT_1186,ABC transporter ATP-binding protein,NA,NA,COG0488,General function prediction only
1208,BT_t20,tRNA-Lys,K14229,NA,NA,NA
1209,BT_1187,transcriptional regulator,NA,NA,COG2207,Transcription
1210,BT_1188,putative transcription regulator,NA,NA,COG3449,"Replication, recombination and repair"
1211,BT_1189,putative transcription activator,NA,NA,COG4978,Signal transduction mechanisms
1212,BT_1190,putative ATP GTP-binding protein,K06949,3.1.3.100,COG1162,"Translation, ribosomal structure and biogenesis"
1213,BT_1191,hypothetical protein,NA,NA,NA,NA
1214,BT_1192,putative xylanase,NA,NA,COG2755,"Cell cycle control, cell division, chromosome partitioning"
1215,BT_1193,conserved hypothetical protein,K03327,NA,COG0534,Defense mechanisms
1216,BT_1194,outer membrane protein%2C OmpA family,NA,NA,COG2885,Cell wall/membrane/envelope biogenesis
1217,BT_1195,monofunctional biosynthetic peptidoglycan transglycosylase,K03814,2.4.1.129,COG0744,Cell wall/membrane/envelope biogenesis
1218,BT_1196,pyruvate carboxylase subunit B),K01960,6.4.1.1,COG5016,Energy production and conversion
1219,BT_1197,RNA polymerase ECF-type sigma factor,K03088,NA,COG1595,Transcription
1220,BT_1198,LemA protein,K03744,NA,COG1704,Cell wall/membrane/envelope biogenesis
1221,BT_1199,putative protease,K03799,NA,COG0501,"Posttranslational modification, protein turnover, chaperones"
1222,BT_1200,conserved hypothetical protein,NA,NA,NA,NA
1223,BT_1201,putative yadS-like transmembrane protein,NA,NA,COG2860,Function unknown
1224,BT_1202,UDP-N-acetylglucosamine 2-epimerase,K01791,5.1.3.14,COG0381,Cell wall/membrane/envelope biogenesis
1225,BT_1203,putative UDP-N-acetylglucosamine 2-epimerase,K01791,5.1.3.14,COG0381,Cell wall/membrane/envelope biogenesis
1226,BT_1204,conserved hypothetical protein%2C putative outer membrane protein,NA,NA,NA,NA
1227,BT_1205,putative ATPase%2C AAA family,K07478,NA,COG2256,"Replication, recombination and repair"
1228,BT_1206,conserved hypothetical protein,NA,NA,NA,NA
1229,BT_1207,glycerate dehydrogenase (NADH-dependent),K00018,1.1.1.29,COG1052,Energy production and conversion
1230,BT_1208,conserved hypothetical protein,NA,NA,NA,NA
1231,BT_1209,cytochrome D ubiquinol oxidase subunit II,K00426,7.1.1.7,COG1294,Energy production and conversion
1232,BT_1210,cytochrome D ubiquinol oxidase subunit I,K00425,7.1.1.7,COG1271,Energy production and conversion
1233,BT_1211,conserved hypothetical protein,NA,NA,NA,NA
1234,BT_1212,outer membrane efflux protein,K12340,NA,COG1538,Cell wall/membrane/envelope biogenesis
1235,BT_1213,periplasmic component of efflux system,K02005,NA,COG0845,Defense mechanisms
1236,BT_1214,putative ABC transporter ATP-binding protein,K02003,NA,COG1136,Cell wall/membrane/envelope biogenesis
1237,BT_1215,ABC transporter%2C permease protein,K02004,NA,COG0577,Defense mechanisms
1238,BT_1216,putative two-component system sensor protein%2C without kinase domain,NA,NA,COG3275,Signal transduction mechanisms
1239,BT_1217,two-component system response regulator,NA,NA,COG3279,Transcription
1240,BT_1218,conserved hypothetical protein%2C with conserved domain,NA,NA,COG2135,"Replication, recombination and repair"
1241,BT_1219,putative peroxidase family protein,K07223,NA,COG2837,Inorganic ion transport and metabolism
